model,display_name,baseline,model_seed,eval_seed,yaw_rate_label,yaw_rate_limit_radps,effective_yaw_rate_cap_radps,stage_index,stage_name,policy_path,config_path,eval_log_path,seed,episodes_requested,episodes,success_rate,clean_capture_rate,collision_rate,timeout_rate,avg_steps,avg_min_dist
ours,Ours,ours,0,0,0.2,0.2,0.2,4,stage5_extreme_game,D:\PursuerEvaderGame\Drones\runs\mappo_3d\default\20260301_083512_b3_local_obs_ippo_s0\policy.pt,D:\PursuerEvaderGame\Drones\runs\mappo_3d\robustness_suite\20260308_144045_stage5_robustness\yaw_rate_sweep\ours\s0\configs\config_stage5_yaw_rate_0p2.json,D:\PursuerEvaderGame\Drones\runs\mappo_3d\robustness_suite\20260308_144045_stage5_robustness\yaw_rate_sweep\ours\s0\logs\eval_stage5_yaw_rate_0p2.jsonl,0,200,200.0,0.555,0.55,0.42,0.03,781.315,12.22546742715309
ours,Ours,ours,0,0,0.4,0.4,0.4,4,stage5_extreme_game,D:\PursuerEvaderGame\Drones\runs\mappo_3d\default\20260301_083512_b3_local_obs_ippo_s0\policy.pt,D:\PursuerEvaderGame\Drones\runs\mappo_3d\robustness_suite\20260308_144045_stage5_robustness\yaw_rate_sweep\ours\s0\configs\config_stage5_yaw_rate_0p4.json,D:\PursuerEvaderGame\Drones\runs\mappo_3d\robustness_suite\20260308_144045_stage5_robustness\yaw_rate_sweep\ours\s0\logs\eval_stage5_yaw_rate_0p4.jsonl,0,200,200.0,0.745,0.745,0.255,0.0,417.6,9.643446362295826
ours,Ours,ours,0,0,0.6,0.6,0.6,4,stage5_extreme_game,D:\PursuerEvaderGame\Drones\runs\mappo_3d\default\20260301_083512_b3_local_obs_ippo_s0\policy.pt,D:\PursuerEvaderGame\Drones\runs\mappo_3d\robustness_suite\20260308_144045_stage5_robustness\yaw_rate_sweep\ours\s0\configs\config_stage5_yaw_rate_0p6.json,D:\PursuerEvaderGame\Drones\runs\mappo_3d\robustness_suite\20260308_144045_stage5_robustness\yaw_rate_sweep\ours\s0\logs\eval_stage5_yaw_rate_0p6.jsonl,0,200,200.0,0.89,0.88,0.12,0.0,333.98,9.610084602395341
ours,Ours,ours,0,0,0.8,0.8,0.8,4,stage5_extreme_game,D:\PursuerEvaderGame\Drones\runs\mappo_3d\default\20260301_083512_b3_local_obs_ippo_s0\policy.pt,D:\PursuerEvaderGame\Drones\runs\mappo_3d\robustness_suite\20260308_144045_stage5_robustness\yaw_rate_sweep\ours\s0\configs\config_stage5_yaw_rate_0p8.json,D:\PursuerEvaderGame\Drones\runs\mappo_3d\robustness_suite\20260308_144045_stage5_robustness\yaw_rate_sweep\ours\s0\logs\eval_stage5_yaw_rate_0p8.jsonl,0,200,200.0,0.91,0.905,0.095,0.0,344.4,8.934800887138035
