model,display_name,baseline,model_seed,eval_seed,delay_steps,stage_index,stage_name,policy_path,config_path,eval_log_path,seed,episodes_requested,episodes,success_rate,clean_capture_rate,collision_rate,timeout_rate,avg_steps,avg_min_dist
euclidean,Euclidean,b2_euclidean_guidance,0,3,0,4,stage5_extreme_game,D:\PursuerEvaderGame\Drones\runs\mappo_3d\default\20260228_050622_b2_euclidean_guidance_s0\policy.pt,D:\PursuerEvaderGame\Drones\runs\mappo_3d\robustness_suite\20260308_144045_stage5_robustness\action_delay_sweep\euclidean\s3\configs\config_stage5_action_delay_0step.json,D:\PursuerEvaderGame\Drones\runs\mappo_3d\robustness_suite\20260308_144045_stage5_robustness\action_delay_sweep\euclidean\s3\logs\eval_stage5_action_delay_0step.jsonl,3,200,200.0,0.52,0.515,0.405,0.08,954.585,16.58044206591187
euclidean,Euclidean,b2_euclidean_guidance,0,3,1,4,stage5_extreme_game,D:\PursuerEvaderGame\Drones\runs\mappo_3d\default\20260228_050622_b2_euclidean_guidance_s0\policy.pt,D:\PursuerEvaderGame\Drones\runs\mappo_3d\robustness_suite\20260308_144045_stage5_robustness\action_delay_sweep\euclidean\s3\configs\config_stage5_action_delay_1step.json,D:\PursuerEvaderGame\Drones\runs\mappo_3d\robustness_suite\20260308_144045_stage5_robustness\action_delay_sweep\euclidean\s3\logs\eval_stage5_action_delay_1step.jsonl,3,200,200.0,0.43,0.43,0.44,0.13,1104.615,16.595173123025813
euclidean,Euclidean,b2_euclidean_guidance,0,3,2,4,stage5_extreme_game,D:\PursuerEvaderGame\Drones\runs\mappo_3d\default\20260228_050622_b2_euclidean_guidance_s0\policy.pt,D:\PursuerEvaderGame\Drones\runs\mappo_3d\robustness_suite\20260308_144045_stage5_robustness\action_delay_sweep\euclidean\s3\configs\config_stage5_action_delay_2step.json,D:\PursuerEvaderGame\Drones\runs\mappo_3d\robustness_suite\20260308_144045_stage5_robustness\action_delay_sweep\euclidean\s3\logs\eval_stage5_action_delay_2step.jsonl,3,200,200.0,0.46,0.46,0.44,0.1,946.44,18.192013136969116
euclidean,Euclidean,b2_euclidean_guidance,0,3,3,4,stage5_extreme_game,D:\PursuerEvaderGame\Drones\runs\mappo_3d\default\20260228_050622_b2_euclidean_guidance_s0\policy.pt,D:\PursuerEvaderGame\Drones\runs\mappo_3d\robustness_suite\20260308_144045_stage5_robustness\action_delay_sweep\euclidean\s3\configs\config_stage5_action_delay_3step.json,D:\PursuerEvaderGame\Drones\runs\mappo_3d\robustness_suite\20260308_144045_stage5_robustness\action_delay_sweep\euclidean\s3\logs\eval_stage5_action_delay_3step.jsonl,3,200,200.0,0.37,0.37,0.54,0.09,940.33,19.431894917702834
