model,display_name,baseline,model_seed,eval_seed,noise_label,noise_std,lidar_noise_std,target_obs_noise_std,stage_index,stage_name,policy_path,config_path,eval_log_path,seed,episodes_requested,episodes,success_rate,clean_capture_rate,collision_rate,timeout_rate,avg_steps,avg_min_dist
euclidean,Euclidean,b2_euclidean_guidance,2,2,0.00,0.0,0.0,0.0,4,stage5_extreme_game,D:\PursuerEvaderGame\Drones\runs\mappo_3d\default\20260228_222028_b2_euclidean_guidance_s2\policy.pt,D:\PursuerEvaderGame\Drones\runs\mappo_3d\robustness_suite\20260308_144045_stage5_robustness\observation_noise_sweep\euclidean\s2\configs\config_stage5_noise_0.json,D:\PursuerEvaderGame\Drones\runs\mappo_3d\robustness_suite\20260308_144045_stage5_robustness\observation_noise_sweep\euclidean\s2\logs\eval_stage5_noise_0.jsonl,2,200,200.0,0.415,0.415,0.46,0.125,1214.48,20.21763365232019
euclidean,Euclidean,b2_euclidean_guidance,2,2,0.05,0.05,0.05,0.05,4,stage5_extreme_game,D:\PursuerEvaderGame\Drones\runs\mappo_3d\default\20260228_222028_b2_euclidean_guidance_s2\policy.pt,D:\PursuerEvaderGame\Drones\runs\mappo_3d\robustness_suite\20260308_144045_stage5_robustness\observation_noise_sweep\euclidean\s2\configs\config_stage5_noise_0p05.json,D:\PursuerEvaderGame\Drones\runs\mappo_3d\robustness_suite\20260308_144045_stage5_robustness\observation_noise_sweep\euclidean\s2\logs\eval_stage5_noise_0p05.jsonl,2,200,200.0,0.435,0.435,0.45,0.115,1214.78,19.167592855936558
euclidean,Euclidean,b2_euclidean_guidance,2,2,0.10,0.1,0.1,0.1,4,stage5_extreme_game,D:\PursuerEvaderGame\Drones\runs\mappo_3d\default\20260228_222028_b2_euclidean_guidance_s2\policy.pt,D:\PursuerEvaderGame\Drones\runs\mappo_3d\robustness_suite\20260308_144045_stage5_robustness\observation_noise_sweep\euclidean\s2\configs\config_stage5_noise_0p1.json,D:\PursuerEvaderGame\Drones\runs\mappo_3d\robustness_suite\20260308_144045_stage5_robustness\observation_noise_sweep\euclidean\s2\logs\eval_stage5_noise_0p1.jsonl,2,200,200.0,0.415,0.415,0.47,0.115,1173.89,20.286510054247493
euclidean,Euclidean,b2_euclidean_guidance,2,2,0.20,0.2,0.2,0.2,4,stage5_extreme_game,D:\PursuerEvaderGame\Drones\runs\mappo_3d\default\20260228_222028_b2_euclidean_guidance_s2\policy.pt,D:\PursuerEvaderGame\Drones\runs\mappo_3d\robustness_suite\20260308_144045_stage5_robustness\observation_noise_sweep\euclidean\s2\configs\config_stage5_noise_0p2.json,D:\PursuerEvaderGame\Drones\runs\mappo_3d\robustness_suite\20260308_144045_stage5_robustness\observation_noise_sweep\euclidean\s2\logs\eval_stage5_noise_0p2.jsonl,2,200,200.0,0.365,0.365,0.52,0.115,1191.48,18.453352137956983
