baseline,model_seed,eval_seed,speed_mps,stage_index,stage_name,policy_path,config_path,eval_log_path,seed,episodes_requested,episodes,success_rate,clean_capture_rate,collision_rate,timeout_rate,avg_steps,avg_min_dist
b2_euclidean_guidance,1,1,7.0,4,stage5_extreme_game,D:\PursuerEvaderGame\Drones\runs\mappo_3d\default\20260228_115953_b2_euclidean_guidance_s1\policy.pt,D:\PursuerEvaderGame\Drones\runs\mappo_3d\speed_sweep\20260308_115302_full_baselines\b2_euclidean_guidance\s1\configs\config_stage5_speed_7p0.json,D:\PursuerEvaderGame\Drones\runs\mappo_3d\speed_sweep\20260308_115302_full_baselines\b2_euclidean_guidance\s1\logs\eval_stage5_speed_7p0.jsonl,1,200,200.0,0.515,0.515,0.42,0.065,943.105,18.578712382728217
b2_euclidean_guidance,1,1,8.0,4,stage5_extreme_game,D:\PursuerEvaderGame\Drones\runs\mappo_3d\default\20260228_115953_b2_euclidean_guidance_s1\policy.pt,D:\PursuerEvaderGame\Drones\runs\mappo_3d\speed_sweep\20260308_115302_full_baselines\b2_euclidean_guidance\s1\configs\config_stage5_speed_8p0.json,D:\PursuerEvaderGame\Drones\runs\mappo_3d\speed_sweep\20260308_115302_full_baselines\b2_euclidean_guidance\s1\logs\eval_stage5_speed_8p0.jsonl,1,200,200.0,0.465,0.465,0.485,0.05,1085.395,17.068517109398552
b2_euclidean_guidance,1,1,8.5,4,stage5_extreme_game,D:\PursuerEvaderGame\Drones\runs\mappo_3d\default\20260228_115953_b2_euclidean_guidance_s1\policy.pt,D:\PursuerEvaderGame\Drones\runs\mappo_3d\speed_sweep\20260308_115302_full_baselines\b2_euclidean_guidance\s1\configs\config_stage5_speed_8p5.json,D:\PursuerEvaderGame\Drones\runs\mappo_3d\speed_sweep\20260308_115302_full_baselines\b2_euclidean_guidance\s1\logs\eval_stage5_speed_8p5.jsonl,1,200,200.0,0.435,0.43,0.525,0.045,1245.505,15.909876637316323
b2_euclidean_guidance,1,1,9.0,4,stage5_extreme_game,D:\PursuerEvaderGame\Drones\runs\mappo_3d\default\20260228_115953_b2_euclidean_guidance_s1\policy.pt,D:\PursuerEvaderGame\Drones\runs\mappo_3d\speed_sweep\20260308_115302_full_baselines\b2_euclidean_guidance\s1\configs\config_stage5_speed_9p0.json,D:\PursuerEvaderGame\Drones\runs\mappo_3d\speed_sweep\20260308_115302_full_baselines\b2_euclidean_guidance\s1\logs\eval_stage5_speed_9p0.jsonl,1,200,200.0,0.345,0.34,0.59,0.07,1313.45,17.817412431870864
b2_euclidean_guidance,1,1,9.5,4,stage5_extreme_game,D:\PursuerEvaderGame\Drones\runs\mappo_3d\default\20260228_115953_b2_euclidean_guidance_s1\policy.pt,D:\PursuerEvaderGame\Drones\runs\mappo_3d\speed_sweep\20260308_115302_full_baselines\b2_euclidean_guidance\s1\configs\config_stage5_speed_9p5.json,D:\PursuerEvaderGame\Drones\runs\mappo_3d\speed_sweep\20260308_115302_full_baselines\b2_euclidean_guidance\s1\logs\eval_stage5_speed_9p5.jsonl,1,200,200.0,0.345,0.345,0.575,0.08,1246.685,18.88372338836846
b2_euclidean_guidance,1,1,10.0,4,stage5_extreme_game,D:\PursuerEvaderGame\Drones\runs\mappo_3d\default\20260228_115953_b2_euclidean_guidance_s1\policy.pt,D:\PursuerEvaderGame\Drones\runs\mappo_3d\speed_sweep\20260308_115302_full_baselines\b2_euclidean_guidance\s1\configs\config_stage5_speed_10p0.json,D:\PursuerEvaderGame\Drones\runs\mappo_3d\speed_sweep\20260308_115302_full_baselines\b2_euclidean_guidance\s1\logs\eval_stage5_speed_10p0.jsonl,1,200,200.0,0.35,0.35,0.575,0.075,1382.815,19.117425035411227
