model,display_name,baseline,model_seed,eval_seed,yaw_rate_label,yaw_rate_limit_radps,effective_yaw_rate_cap_radps,stage_index,stage_name,policy_path,config_path,eval_log_path,seed,episodes_requested,episodes,success_rate,clean_capture_rate,collision_rate,timeout_rate,avg_steps,avg_min_dist
euclidean,Euclidean,b2_euclidean_guidance,1,1,0.4,0.4,0.4,4,stage5_extreme_game,D:\PursuerEvaderGame\Drones\runs\mappo_3d\default\20260228_115953_b2_euclidean_guidance_s1\policy.pt,D:\PursuerEvaderGame\Drones\runs\mappo_3d\robustness_suite\20260308_144045_stage5_robustness\yaw_rate_sweep\euclidean\s1\configs\config_stage5_yaw_rate_0p4.json,D:\PursuerEvaderGame\Drones\runs\mappo_3d\robustness_suite\20260308_144045_stage5_robustness\yaw_rate_sweep\euclidean\s1\logs\eval_stage5_yaw_rate_0p4.jsonl,1,200,200.0,0.38,0.38,0.565,0.055,1237.585,18.199575694356096
euclidean,Euclidean,b2_euclidean_guidance,1,1,0.6,0.6,0.6,4,stage5_extreme_game,D:\PursuerEvaderGame\Drones\runs\mappo_3d\default\20260228_115953_b2_euclidean_guidance_s1\policy.pt,D:\PursuerEvaderGame\Drones\runs\mappo_3d\robustness_suite\20260308_144045_stage5_robustness\yaw_rate_sweep\euclidean\s1\configs\config_stage5_yaw_rate_0p6.json,D:\PursuerEvaderGame\Drones\runs\mappo_3d\robustness_suite\20260308_144045_stage5_robustness\yaw_rate_sweep\euclidean\s1\logs\eval_stage5_yaw_rate_0p6.jsonl,1,200,200.0,0.35,0.345,0.61,0.045,1272.66,18.123610554864037
euclidean,Euclidean,b2_euclidean_guidance,1,1,0.8,0.8,0.8,4,stage5_extreme_game,D:\PursuerEvaderGame\Drones\runs\mappo_3d\default\20260228_115953_b2_euclidean_guidance_s1\policy.pt,D:\PursuerEvaderGame\Drones\runs\mappo_3d\robustness_suite\20260308_144045_stage5_robustness\yaw_rate_sweep\euclidean\s1\configs\config_stage5_yaw_rate_0p8.json,D:\PursuerEvaderGame\Drones\runs\mappo_3d\robustness_suite\20260308_144045_stage5_robustness\yaw_rate_sweep\euclidean\s1\logs\eval_stage5_yaw_rate_0p8.jsonl,1,200,200.0,0.345,0.34,0.59,0.07,1313.45,17.817412431870864
