baseline,model_seed,eval_seed,speed_mps,stage_index,stage_name,policy_path,config_path,eval_log_path,seed,episodes_requested,episodes,success_rate,clean_capture_rate,collision_rate,timeout_rate,avg_steps,avg_min_dist
b3_full_obs_ippo,2,2,7.0,4,stage5_extreme_game,D:\PursuerEvaderGame\Drones\runs\mappo_3d\default\20260227_112209_ours_s2\policy.pt,D:\PursuerEvaderGame\Drones\runs\mappo_3d\speed_sweep\20260308_115302_full_baselines\b3_full_obs_ippo\s2\configs\config_stage5_speed_7p0.json,D:\PursuerEvaderGame\Drones\runs\mappo_3d\speed_sweep\20260308_115302_full_baselines\b3_full_obs_ippo\s2\logs\eval_stage5_speed_7p0.jsonl,2,200,200.0,0.76,0.76,0.235,0.005,380.42,9.921405183536114
b3_full_obs_ippo,2,2,8.0,4,stage5_extreme_game,D:\PursuerEvaderGame\Drones\runs\mappo_3d\default\20260227_112209_ours_s2\policy.pt,D:\PursuerEvaderGame\Drones\runs\mappo_3d\speed_sweep\20260308_115302_full_baselines\b3_full_obs_ippo\s2\configs\config_stage5_speed_8p0.json,D:\PursuerEvaderGame\Drones\runs\mappo_3d\speed_sweep\20260308_115302_full_baselines\b3_full_obs_ippo\s2\logs\eval_stage5_speed_8p0.jsonl,2,200,200.0,0.68,0.665,0.335,0.0,392.655,11.189089536307073
b3_full_obs_ippo,2,2,8.5,4,stage5_extreme_game,D:\PursuerEvaderGame\Drones\runs\mappo_3d\default\20260227_112209_ours_s2\policy.pt,D:\PursuerEvaderGame\Drones\runs\mappo_3d\speed_sweep\20260308_115302_full_baselines\b3_full_obs_ippo\s2\configs\config_stage5_speed_8p5.json,D:\PursuerEvaderGame\Drones\runs\mappo_3d\speed_sweep\20260308_115302_full_baselines\b3_full_obs_ippo\s2\logs\eval_stage5_speed_8p5.jsonl,2,200,200.0,0.68,0.68,0.32,0.0,424.595,10.561810308129514
b3_full_obs_ippo,2,2,9.0,4,stage5_extreme_game,D:\PursuerEvaderGame\Drones\runs\mappo_3d\default\20260227_112209_ours_s2\policy.pt,D:\PursuerEvaderGame\Drones\runs\mappo_3d\speed_sweep\20260308_115302_full_baselines\b3_full_obs_ippo\s2\configs\config_stage5_speed_9p0.json,D:\PursuerEvaderGame\Drones\runs\mappo_3d\speed_sweep\20260308_115302_full_baselines\b3_full_obs_ippo\s2\logs\eval_stage5_speed_9p0.jsonl,2,200,200.0,0.69,0.685,0.315,0.0,412.235,10.619901519364833
b3_full_obs_ippo,2,2,9.5,4,stage5_extreme_game,D:\PursuerEvaderGame\Drones\runs\mappo_3d\default\20260227_112209_ours_s2\policy.pt,D:\PursuerEvaderGame\Drones\runs\mappo_3d\speed_sweep\20260308_115302_full_baselines\b3_full_obs_ippo\s2\configs\config_stage5_speed_9p5.json,D:\PursuerEvaderGame\Drones\runs\mappo_3d\speed_sweep\20260308_115302_full_baselines\b3_full_obs_ippo\s2\logs\eval_stage5_speed_9p5.jsonl,2,200,200.0,0.64,0.64,0.355,0.005,483.42,11.071740411188479
b3_full_obs_ippo,2,2,10.0,4,stage5_extreme_game,D:\PursuerEvaderGame\Drones\runs\mappo_3d\default\20260227_112209_ours_s2\policy.pt,D:\PursuerEvaderGame\Drones\runs\mappo_3d\speed_sweep\20260308_115302_full_baselines\b3_full_obs_ippo\s2\configs\config_stage5_speed_10p0.json,D:\PursuerEvaderGame\Drones\runs\mappo_3d\speed_sweep\20260308_115302_full_baselines\b3_full_obs_ippo\s2\logs\eval_stage5_speed_10p0.jsonl,2,200,200.0,0.635,0.635,0.365,0.0,447.625,10.435906419368191
