model,display_name,baseline,model_seed,eval_seed,noise_label,noise_std,lidar_noise_std,target_obs_noise_std,stage_index,stage_name,policy_path,config_path,eval_log_path,seed,episodes_requested,episodes,success_rate,clean_capture_rate,collision_rate,timeout_rate,avg_steps,avg_min_dist
euclidean,Euclidean,b2_euclidean_guidance,1,1,0.00,0.0,0.0,0.0,4,stage5_extreme_game,D:\PursuerEvaderGame\Drones\runs\mappo_3d\default\20260228_115953_b2_euclidean_guidance_s1\policy.pt,D:\PursuerEvaderGame\Drones\runs\mappo_3d\robustness_suite\20260308_144045_stage5_robustness\observation_noise_sweep\euclidean\s1\configs\config_stage5_noise_0.json,D:\PursuerEvaderGame\Drones\runs\mappo_3d\robustness_suite\20260308_144045_stage5_robustness\observation_noise_sweep\euclidean\s1\logs\eval_stage5_noise_0.jsonl,1,200,200.0,0.44,0.44,0.495,0.065,1265.12,16.596703263823848
euclidean,Euclidean,b2_euclidean_guidance,1,1,0.05,0.05,0.05,0.05,4,stage5_extreme_game,D:\PursuerEvaderGame\Drones\runs\mappo_3d\default\20260228_115953_b2_euclidean_guidance_s1\policy.pt,D:\PursuerEvaderGame\Drones\runs\mappo_3d\robustness_suite\20260308_144045_stage5_robustness\observation_noise_sweep\euclidean\s1\configs\config_stage5_noise_0p05.json,D:\PursuerEvaderGame\Drones\runs\mappo_3d\robustness_suite\20260308_144045_stage5_robustness\observation_noise_sweep\euclidean\s1\logs\eval_stage5_noise_0p05.jsonl,1,200,200.0,0.35,0.35,0.595,0.055,1218.615,18.514989001986628
euclidean,Euclidean,b2_euclidean_guidance,1,1,0.10,0.1,0.1,0.1,4,stage5_extreme_game,D:\PursuerEvaderGame\Drones\runs\mappo_3d\default\20260228_115953_b2_euclidean_guidance_s1\policy.pt,D:\PursuerEvaderGame\Drones\runs\mappo_3d\robustness_suite\20260308_144045_stage5_robustness\observation_noise_sweep\euclidean\s1\configs\config_stage5_noise_0p1.json,D:\PursuerEvaderGame\Drones\runs\mappo_3d\robustness_suite\20260308_144045_stage5_robustness\observation_noise_sweep\euclidean\s1\logs\eval_stage5_noise_0p1.jsonl,1,200,200.0,0.39,0.39,0.545,0.065,1209.815,17.035904429309703
euclidean,Euclidean,b2_euclidean_guidance,1,1,0.20,0.2,0.2,0.2,4,stage5_extreme_game,D:\PursuerEvaderGame\Drones\runs\mappo_3d\default\20260228_115953_b2_euclidean_guidance_s1\policy.pt,D:\PursuerEvaderGame\Drones\runs\mappo_3d\robustness_suite\20260308_144045_stage5_robustness\observation_noise_sweep\euclidean\s1\configs\config_stage5_noise_0p2.json,D:\PursuerEvaderGame\Drones\runs\mappo_3d\robustness_suite\20260308_144045_stage5_robustness\observation_noise_sweep\euclidean\s1\logs\eval_stage5_noise_0p2.jsonl,1,200,200.0,0.425,0.425,0.53,0.045,1057.79,16.23847147603569
