model,display_name,baseline,model_seed,eval_seed,yaw_rate_label,yaw_rate_limit_radps,effective_yaw_rate_cap_radps,stage_index,stage_name,policy_path,config_path,eval_log_path,seed,episodes_requested,episodes,success_rate,clean_capture_rate,collision_rate,timeout_rate,avg_steps,avg_min_dist
euclidean,Euclidean,b2_euclidean_guidance,2,2,0.2,0.2,0.2,4,stage5_extreme_game,D:\PursuerEvaderGame\Drones\runs\mappo_3d\default\20260228_222028_b2_euclidean_guidance_s2\policy.pt,D:\PursuerEvaderGame\Drones\runs\mappo_3d\robustness_suite\20260308_144045_stage5_robustness\yaw_rate_sweep\euclidean\s2\configs\config_stage5_yaw_rate_0p2.json,D:\PursuerEvaderGame\Drones\runs\mappo_3d\robustness_suite\20260308_144045_stage5_robustness\yaw_rate_sweep\euclidean\s2\logs\eval_stage5_yaw_rate_0p2.jsonl,2,200,200.0,0.45,0.45,0.51,0.04,965.39,15.141939902979004
euclidean,Euclidean,b2_euclidean_guidance,2,2,0.4,0.4,0.4,4,stage5_extreme_game,D:\PursuerEvaderGame\Drones\runs\mappo_3d\default\20260228_222028_b2_euclidean_guidance_s2\policy.pt,D:\PursuerEvaderGame\Drones\runs\mappo_3d\robustness_suite\20260308_144045_stage5_robustness\yaw_rate_sweep\euclidean\s2\configs\config_stage5_yaw_rate_0p4.json,D:\PursuerEvaderGame\Drones\runs\mappo_3d\robustness_suite\20260308_144045_stage5_robustness\yaw_rate_sweep\euclidean\s2\logs\eval_stage5_yaw_rate_0p4.jsonl,2,200,200.0,0.525,0.52,0.35,0.13,1153.22,18.241573160040364
euclidean,Euclidean,b2_euclidean_guidance,2,2,0.6,0.6,0.6,4,stage5_extreme_game,D:\PursuerEvaderGame\Drones\runs\mappo_3d\default\20260228_222028_b2_euclidean_guidance_s2\policy.pt,D:\PursuerEvaderGame\Drones\runs\mappo_3d\robustness_suite\20260308_144045_stage5_robustness\yaw_rate_sweep\euclidean\s2\configs\config_stage5_yaw_rate_0p6.json,D:\PursuerEvaderGame\Drones\runs\mappo_3d\robustness_suite\20260308_144045_stage5_robustness\yaw_rate_sweep\euclidean\s2\logs\eval_stage5_yaw_rate_0p6.jsonl,2,200,200.0,0.46,0.455,0.43,0.115,1227.625,18.330766344949872
euclidean,Euclidean,b2_euclidean_guidance,2,2,0.8,0.8,0.8,4,stage5_extreme_game,D:\PursuerEvaderGame\Drones\runs\mappo_3d\default\20260228_222028_b2_euclidean_guidance_s2\policy.pt,D:\PursuerEvaderGame\Drones\runs\mappo_3d\robustness_suite\20260308_144045_stage5_robustness\yaw_rate_sweep\euclidean\s2\configs\config_stage5_yaw_rate_0p8.json,D:\PursuerEvaderGame\Drones\runs\mappo_3d\robustness_suite\20260308_144045_stage5_robustness\yaw_rate_sweep\euclidean\s2\logs\eval_stage5_yaw_rate_0p8.jsonl,2,200,200.0,0.45,0.45,0.445,0.105,1146.425,20.355616062833352
