model,display_name,baseline,model_seed,eval_seed,noise_label,noise_std,lidar_noise_std,target_obs_noise_std,stage_index,stage_name,policy_path,config_path,eval_log_path,seed,episodes_requested,episodes,success_rate,clean_capture_rate,collision_rate,timeout_rate,avg_steps,avg_min_dist
euclidean,Euclidean,b2_euclidean_guidance,0,0,0.00,0.0,0.0,0.0,4,stage5_extreme_game,D:\PursuerEvaderGame\Drones\runs\mappo_3d\default\20260228_050622_b2_euclidean_guidance_s0\policy.pt,D:\PursuerEvaderGame\Drones\runs\mappo_3d\robustness_suite\20260308_144045_stage5_robustness\observation_noise_sweep\euclidean\s0\configs\config_stage5_noise_0.json,D:\PursuerEvaderGame\Drones\runs\mappo_3d\robustness_suite\20260308_144045_stage5_robustness\observation_noise_sweep\euclidean\s0\logs\eval_stage5_noise_0.jsonl,0,200,200.0,0.44,0.44,0.555,0.005,659.42,20.782833816614307
euclidean,Euclidean,b2_euclidean_guidance,0,0,0.05,0.05,0.05,0.05,4,stage5_extreme_game,D:\PursuerEvaderGame\Drones\runs\mappo_3d\default\20260228_050622_b2_euclidean_guidance_s0\policy.pt,D:\PursuerEvaderGame\Drones\runs\mappo_3d\robustness_suite\20260308_144045_stage5_robustness\observation_noise_sweep\euclidean\s0\configs\config_stage5_noise_0p05.json,D:\PursuerEvaderGame\Drones\runs\mappo_3d\robustness_suite\20260308_144045_stage5_robustness\observation_noise_sweep\euclidean\s0\logs\eval_stage5_noise_0p05.jsonl,0,200,200.0,0.5,0.5,0.43,0.07,858.365,19.57073411648506
euclidean,Euclidean,b2_euclidean_guidance,0,0,0.10,0.1,0.1,0.1,4,stage5_extreme_game,D:\PursuerEvaderGame\Drones\runs\mappo_3d\default\20260228_050622_b2_euclidean_guidance_s0\policy.pt,D:\PursuerEvaderGame\Drones\runs\mappo_3d\robustness_suite\20260308_144045_stage5_robustness\observation_noise_sweep\euclidean\s0\configs\config_stage5_noise_0p1.json,D:\PursuerEvaderGame\Drones\runs\mappo_3d\robustness_suite\20260308_144045_stage5_robustness\observation_noise_sweep\euclidean\s0\logs\eval_stage5_noise_0p1.jsonl,0,200,200.0,0.51,0.51,0.43,0.06,888.66,16.58292401835825
euclidean,Euclidean,b2_euclidean_guidance,0,0,0.20,0.2,0.2,0.2,4,stage5_extreme_game,D:\PursuerEvaderGame\Drones\runs\mappo_3d\default\20260228_050622_b2_euclidean_guidance_s0\policy.pt,D:\PursuerEvaderGame\Drones\runs\mappo_3d\robustness_suite\20260308_144045_stage5_robustness\observation_noise_sweep\euclidean\s0\configs\config_stage5_noise_0p2.json,D:\PursuerEvaderGame\Drones\runs\mappo_3d\robustness_suite\20260308_144045_stage5_robustness\observation_noise_sweep\euclidean\s0\logs\eval_stage5_noise_0p2.jsonl,0,200,200.0,0.33,0.33,0.66,0.01,734.195,20.609315788669868
