model,display_name,baseline,model_seed,eval_seed,yaw_rate_label,yaw_rate_limit_radps,effective_yaw_rate_cap_radps,stage_index,stage_name,policy_path,config_path,eval_log_path,seed,episodes_requested,episodes,success_rate,clean_capture_rate,collision_rate,timeout_rate,avg_steps,avg_min_dist
apf,APF,b1_traditional_apf_pn,2,2,0.2,0.2,0.2,4,stage5_extreme_game,,D:\PursuerEvaderGame\Drones\runs\mappo_3d\robustness_suite\20260308_144045_stage5_robustness\yaw_rate_sweep\apf\s2\configs\config_stage5_yaw_rate_0p2.json,D:\PursuerEvaderGame\Drones\runs\mappo_3d\robustness_suite\20260308_144045_stage5_robustness\yaw_rate_sweep\apf\s2\logs\eval_stage5_yaw_rate_0p2.jsonl,2,200,200.0,0.085,0.085,0.915,0.0,124.47,51.10368071259849
apf,APF,b1_traditional_apf_pn,2,2,0.4,0.4,0.4,4,stage5_extreme_game,,D:\PursuerEvaderGame\Drones\runs\mappo_3d\robustness_suite\20260308_144045_stage5_robustness\yaw_rate_sweep\apf\s2\configs\config_stage5_yaw_rate_0p4.json,D:\PursuerEvaderGame\Drones\runs\mappo_3d\robustness_suite\20260308_144045_stage5_robustness\yaw_rate_sweep\apf\s2\logs\eval_stage5_yaw_rate_0p4.jsonl,2,200,200.0,0.125,0.125,0.875,0.0,119.79,49.95389618274261
apf,APF,b1_traditional_apf_pn,2,2,0.6,0.6,0.6,4,stage5_extreme_game,,D:\PursuerEvaderGame\Drones\runs\mappo_3d\robustness_suite\20260308_144045_stage5_robustness\yaw_rate_sweep\apf\s2\configs\config_stage5_yaw_rate_0p6.json,D:\PursuerEvaderGame\Drones\runs\mappo_3d\robustness_suite\20260308_144045_stage5_robustness\yaw_rate_sweep\apf\s2\logs\eval_stage5_yaw_rate_0p6.jsonl,2,200,200.0,0.09,0.09,0.91,0.0,105.73,53.36981402052433
apf,APF,b1_traditional_apf_pn,2,2,0.8,0.8,0.8,4,stage5_extreme_game,,D:\PursuerEvaderGame\Drones\runs\mappo_3d\robustness_suite\20260308_144045_stage5_robustness\yaw_rate_sweep\apf\s2\configs\config_stage5_yaw_rate_0p8.json,D:\PursuerEvaderGame\Drones\runs\mappo_3d\robustness_suite\20260308_144045_stage5_robustness\yaw_rate_sweep\apf\s2\logs\eval_stage5_yaw_rate_0p8.jsonl,2,200,200.0,0.085,0.085,0.915,0.0,119.91,52.17191742577712
