model,display_name,baseline,model_seed,eval_seed,delay_steps,stage_index,stage_name,policy_path,config_path,eval_log_path,seed,episodes_requested,episodes,success_rate,clean_capture_rate,collision_rate,timeout_rate,avg_steps,avg_min_dist
euclidean,Euclidean,b2_euclidean_guidance,1,1,0,4,stage5_extreme_game,D:\PursuerEvaderGame\Drones\runs\mappo_3d\default\20260228_115953_b2_euclidean_guidance_s1\policy.pt,D:\PursuerEvaderGame\Drones\runs\mappo_3d\robustness_suite\20260308_144045_stage5_robustness\action_delay_sweep\euclidean\s1\configs\config_stage5_action_delay_0step.json,D:\PursuerEvaderGame\Drones\runs\mappo_3d\robustness_suite\20260308_144045_stage5_robustness\action_delay_sweep\euclidean\s1\logs\eval_stage5_action_delay_0step.jsonl,1,200,200.0,0.345,0.34,0.59,0.07,1313.45,17.817412431870864
euclidean,Euclidean,b2_euclidean_guidance,1,1,1,4,stage5_extreme_game,D:\PursuerEvaderGame\Drones\runs\mappo_3d\default\20260228_115953_b2_euclidean_guidance_s1\policy.pt,D:\PursuerEvaderGame\Drones\runs\mappo_3d\robustness_suite\20260308_144045_stage5_robustness\action_delay_sweep\euclidean\s1\configs\config_stage5_action_delay_1step.json,D:\PursuerEvaderGame\Drones\runs\mappo_3d\robustness_suite\20260308_144045_stage5_robustness\action_delay_sweep\euclidean\s1\logs\eval_stage5_action_delay_1step.jsonl,1,200,200.0,0.34,0.34,0.585,0.075,1227.01,19.95636144106399
euclidean,Euclidean,b2_euclidean_guidance,1,1,2,4,stage5_extreme_game,D:\PursuerEvaderGame\Drones\runs\mappo_3d\default\20260228_115953_b2_euclidean_guidance_s1\policy.pt,D:\PursuerEvaderGame\Drones\runs\mappo_3d\robustness_suite\20260308_144045_stage5_robustness\action_delay_sweep\euclidean\s1\configs\config_stage5_action_delay_2step.json,D:\PursuerEvaderGame\Drones\runs\mappo_3d\robustness_suite\20260308_144045_stage5_robustness\action_delay_sweep\euclidean\s1\logs\eval_stage5_action_delay_2step.jsonl,1,200,200.0,0.33,0.33,0.59,0.085,1270.295,20.264577120227656
euclidean,Euclidean,b2_euclidean_guidance,1,1,3,4,stage5_extreme_game,D:\PursuerEvaderGame\Drones\runs\mappo_3d\default\20260228_115953_b2_euclidean_guidance_s1\policy.pt,D:\PursuerEvaderGame\Drones\runs\mappo_3d\robustness_suite\20260308_144045_stage5_robustness\action_delay_sweep\euclidean\s1\configs\config_stage5_action_delay_3step.json,D:\PursuerEvaderGame\Drones\runs\mappo_3d\robustness_suite\20260308_144045_stage5_robustness\action_delay_sweep\euclidean\s1\logs\eval_stage5_action_delay_3step.jsonl,1,200,200.0,0.365,0.365,0.555,0.08,1281.37,17.807125009139195
