model,display_name,baseline,model_seed,eval_seed,yaw_rate_label,yaw_rate_limit_radps,effective_yaw_rate_cap_radps,stage_index,stage_name,policy_path,config_path,eval_log_path,seed,episodes_requested,episodes,success_rate,clean_capture_rate,collision_rate,timeout_rate,avg_steps,avg_min_dist
apf,APF,b1_traditional_apf_pn,0,0,0.2,0.2,0.2,4,stage5_extreme_game,,D:\PursuerEvaderGame\Drones\runs\mappo_3d\robustness_suite\20260308_144045_stage5_robustness\yaw_rate_sweep\apf\s0\configs\config_stage5_yaw_rate_0p2.json,D:\PursuerEvaderGame\Drones\runs\mappo_3d\robustness_suite\20260308_144045_stage5_robustness\yaw_rate_sweep\apf\s0\logs\eval_stage5_yaw_rate_0p2.jsonl,0,200,200.0,0.085,0.08,0.92,0.0,121.495,52.91651264516068
apf,APF,b1_traditional_apf_pn,0,0,0.4,0.4,0.4,4,stage5_extreme_game,,D:\PursuerEvaderGame\Drones\runs\mappo_3d\robustness_suite\20260308_144045_stage5_robustness\yaw_rate_sweep\apf\s0\configs\config_stage5_yaw_rate_0p4.json,D:\PursuerEvaderGame\Drones\runs\mappo_3d\robustness_suite\20260308_144045_stage5_robustness\yaw_rate_sweep\apf\s0\logs\eval_stage5_yaw_rate_0p4.jsonl,0,200,200.0,0.115,0.105,0.895,0.0,134.61,50.690626078099605
apf,APF,b1_traditional_apf_pn,0,0,0.6,0.6,0.6,4,stage5_extreme_game,,D:\PursuerEvaderGame\Drones\runs\mappo_3d\robustness_suite\20260308_144045_stage5_robustness\yaw_rate_sweep\apf\s0\configs\config_stage5_yaw_rate_0p6.json,D:\PursuerEvaderGame\Drones\runs\mappo_3d\robustness_suite\20260308_144045_stage5_robustness\yaw_rate_sweep\apf\s0\logs\eval_stage5_yaw_rate_0p6.jsonl,0,200,200.0,0.135,0.135,0.865,0.0,122.105,53.65818418047345
apf,APF,b1_traditional_apf_pn,0,0,0.8,0.8,0.8,4,stage5_extreme_game,,D:\PursuerEvaderGame\Drones\runs\mappo_3d\robustness_suite\20260308_144045_stage5_robustness\yaw_rate_sweep\apf\s0\configs\config_stage5_yaw_rate_0p8.json,D:\PursuerEvaderGame\Drones\runs\mappo_3d\robustness_suite\20260308_144045_stage5_robustness\yaw_rate_sweep\apf\s0\logs\eval_stage5_yaw_rate_0p8.jsonl,0,200,200.0,0.105,0.105,0.895,0.0,106.785,51.54781019651064
