model,display_name,baseline,model_seed,eval_seed,delay_steps,stage_index,stage_name,policy_path,config_path,eval_log_path,seed,episodes_requested,episodes,success_rate,clean_capture_rate,collision_rate,timeout_rate,avg_steps,avg_min_dist
ours,Ours,ours,1,1,0,4,stage5_extreme_game,D:\PursuerEvaderGame\Drones\runs\mappo_3d\default\20260302_000846_b3_local_obs_ippo_s1\policy.pt,D:\PursuerEvaderGame\Drones\runs\mappo_3d\robustness_suite\20260308_144045_stage5_robustness\action_delay_sweep\ours\s1\configs\config_stage5_action_delay_0step.json,D:\PursuerEvaderGame\Drones\runs\mappo_3d\robustness_suite\20260308_144045_stage5_robustness\action_delay_sweep\ours\s1\logs\eval_stage5_action_delay_0step.jsonl,1,200,200.0,0.835,0.835,0.155,0.01,575.285,10.601157272085567
ours,Ours,ours,1,1,1,4,stage5_extreme_game,D:\PursuerEvaderGame\Drones\runs\mappo_3d\default\20260302_000846_b3_local_obs_ippo_s1\policy.pt,D:\PursuerEvaderGame\Drones\runs\mappo_3d\robustness_suite\20260308_144045_stage5_robustness\action_delay_sweep\ours\s1\configs\config_stage5_action_delay_1step.json,D:\PursuerEvaderGame\Drones\runs\mappo_3d\robustness_suite\20260308_144045_stage5_robustness\action_delay_sweep\ours\s1\logs\eval_stage5_action_delay_1step.jsonl,1,200,200.0,0.79,0.79,0.21,0.0,587.44,10.759928291200474
ours,Ours,ours,1,1,2,4,stage5_extreme_game,D:\PursuerEvaderGame\Drones\runs\mappo_3d\default\20260302_000846_b3_local_obs_ippo_s1\policy.pt,D:\PursuerEvaderGame\Drones\runs\mappo_3d\robustness_suite\20260308_144045_stage5_robustness\action_delay_sweep\ours\s1\configs\config_stage5_action_delay_2step.json,D:\PursuerEvaderGame\Drones\runs\mappo_3d\robustness_suite\20260308_144045_stage5_robustness\action_delay_sweep\ours\s1\logs\eval_stage5_action_delay_2step.jsonl,1,200,200.0,0.755,0.755,0.245,0.0,523.675,10.338840194493667
ours,Ours,ours,1,1,3,4,stage5_extreme_game,D:\PursuerEvaderGame\Drones\runs\mappo_3d\default\20260302_000846_b3_local_obs_ippo_s1\policy.pt,D:\PursuerEvaderGame\Drones\runs\mappo_3d\robustness_suite\20260308_144045_stage5_robustness\action_delay_sweep\ours\s1\configs\config_stage5_action_delay_3step.json,D:\PursuerEvaderGame\Drones\runs\mappo_3d\robustness_suite\20260308_144045_stage5_robustness\action_delay_sweep\ours\s1\logs\eval_stage5_action_delay_3step.jsonl,1,200,200.0,0.735,0.73,0.265,0.005,665.245,10.99309440255516
