baseline,model_seed,eval_seed,speed_mps,stage_index,stage_name,policy_path,config_path,eval_log_path,seed,episodes_requested,episodes,success_rate,clean_capture_rate,collision_rate,timeout_rate,avg_steps,avg_min_dist
b2_euclidean_guidance,2,2,7.0,4,stage5_extreme_game,D:\PursuerEvaderGame\Drones\runs\mappo_3d\default\20260228_222028_b2_euclidean_guidance_s2\policy.pt,D:\PursuerEvaderGame\Drones\runs\mappo_3d\speed_sweep\20260308_115302_full_baselines\b2_euclidean_guidance\s2\configs\config_stage5_speed_7p0.json,D:\PursuerEvaderGame\Drones\runs\mappo_3d\speed_sweep\20260308_115302_full_baselines\b2_euclidean_guidance\s2\logs\eval_stage5_speed_7p0.jsonl,2,200,200.0,0.52,0.52,0.36,0.12,1085.76,18.06897718715195
b2_euclidean_guidance,2,2,8.0,4,stage5_extreme_game,D:\PursuerEvaderGame\Drones\runs\mappo_3d\default\20260228_222028_b2_euclidean_guidance_s2\policy.pt,D:\PursuerEvaderGame\Drones\runs\mappo_3d\speed_sweep\20260308_115302_full_baselines\b2_euclidean_guidance\s2\configs\config_stage5_speed_8p0.json,D:\PursuerEvaderGame\Drones\runs\mappo_3d\speed_sweep\20260308_115302_full_baselines\b2_euclidean_guidance\s2\logs\eval_stage5_speed_8p0.jsonl,2,200,200.0,0.52,0.515,0.39,0.095,1084.865,17.925669748521237
b2_euclidean_guidance,2,2,8.5,4,stage5_extreme_game,D:\PursuerEvaderGame\Drones\runs\mappo_3d\default\20260228_222028_b2_euclidean_guidance_s2\policy.pt,D:\PursuerEvaderGame\Drones\runs\mappo_3d\speed_sweep\20260308_115302_full_baselines\b2_euclidean_guidance\s2\configs\config_stage5_speed_8p5.json,D:\PursuerEvaderGame\Drones\runs\mappo_3d\speed_sweep\20260308_115302_full_baselines\b2_euclidean_guidance\s2\logs\eval_stage5_speed_8p5.jsonl,2,200,200.0,0.485,0.485,0.425,0.09,1100.75,18.203217214841178
b2_euclidean_guidance,2,2,9.0,4,stage5_extreme_game,D:\PursuerEvaderGame\Drones\runs\mappo_3d\default\20260228_222028_b2_euclidean_guidance_s2\policy.pt,D:\PursuerEvaderGame\Drones\runs\mappo_3d\speed_sweep\20260308_115302_full_baselines\b2_euclidean_guidance\s2\configs\config_stage5_speed_9p0.json,D:\PursuerEvaderGame\Drones\runs\mappo_3d\speed_sweep\20260308_115302_full_baselines\b2_euclidean_guidance\s2\logs\eval_stage5_speed_9p0.jsonl,2,200,200.0,0.45,0.45,0.445,0.105,1146.425,20.355616062833352
b2_euclidean_guidance,2,2,9.5,4,stage5_extreme_game,D:\PursuerEvaderGame\Drones\runs\mappo_3d\default\20260228_222028_b2_euclidean_guidance_s2\policy.pt,D:\PursuerEvaderGame\Drones\runs\mappo_3d\speed_sweep\20260308_115302_full_baselines\b2_euclidean_guidance\s2\configs\config_stage5_speed_9p5.json,D:\PursuerEvaderGame\Drones\runs\mappo_3d\speed_sweep\20260308_115302_full_baselines\b2_euclidean_guidance\s2\logs\eval_stage5_speed_9p5.jsonl,2,200,200.0,0.445,0.44,0.42,0.14,1303.66,20.45038864519299
b2_euclidean_guidance,2,2,10.0,4,stage5_extreme_game,D:\PursuerEvaderGame\Drones\runs\mappo_3d\default\20260228_222028_b2_euclidean_guidance_s2\policy.pt,D:\PursuerEvaderGame\Drones\runs\mappo_3d\speed_sweep\20260308_115302_full_baselines\b2_euclidean_guidance\s2\configs\config_stage5_speed_10p0.json,D:\PursuerEvaderGame\Drones\runs\mappo_3d\speed_sweep\20260308_115302_full_baselines\b2_euclidean_guidance\s2\logs\eval_stage5_speed_10p0.jsonl,2,200,200.0,0.37,0.37,0.52,0.11,1233.68,20.865446404557375
