baseline,model_seed,eval_seed,speed_mps,stage_index,stage_name,policy_path,config_path,eval_log_path,seed,episodes_requested,episodes,success_rate,clean_capture_rate,collision_rate,timeout_rate,avg_steps,avg_min_dist
b3_full_obs_ippo,0,0,7.0,4,stage5_extreme_game,D:\PursuerEvaderGame\Drones\runs\mappo_3d\default\20260226_012031_ours_s0\policy.pt,D:\PursuerEvaderGame\Drones\runs\mappo_3d\speed_sweep\20260308_115302_full_baselines\b3_full_obs_ippo\s0\configs\config_stage5_speed_7p0.json,D:\PursuerEvaderGame\Drones\runs\mappo_3d\speed_sweep\20260308_115302_full_baselines\b3_full_obs_ippo\s0\logs\eval_stage5_speed_7p0.jsonl,0,200,200.0,0.845,0.845,0.155,0.0,418.715,9.068178124513512
b3_full_obs_ippo,0,0,8.0,4,stage5_extreme_game,D:\PursuerEvaderGame\Drones\runs\mappo_3d\default\20260226_012031_ours_s0\policy.pt,D:\PursuerEvaderGame\Drones\runs\mappo_3d\speed_sweep\20260308_115302_full_baselines\b3_full_obs_ippo\s0\configs\config_stage5_speed_8p0.json,D:\PursuerEvaderGame\Drones\runs\mappo_3d\speed_sweep\20260308_115302_full_baselines\b3_full_obs_ippo\s0\logs\eval_stage5_speed_8p0.jsonl,0,200,200.0,0.83,0.83,0.17,0.0,462.45,9.76740274012538
b3_full_obs_ippo,0,0,8.5,4,stage5_extreme_game,D:\PursuerEvaderGame\Drones\runs\mappo_3d\default\20260226_012031_ours_s0\policy.pt,D:\PursuerEvaderGame\Drones\runs\mappo_3d\speed_sweep\20260308_115302_full_baselines\b3_full_obs_ippo\s0\configs\config_stage5_speed_8p5.json,D:\PursuerEvaderGame\Drones\runs\mappo_3d\speed_sweep\20260308_115302_full_baselines\b3_full_obs_ippo\s0\logs\eval_stage5_speed_8p5.jsonl,0,200,200.0,0.78,0.78,0.22,0.0,530.85,10.14726396972061
b3_full_obs_ippo,0,0,9.0,4,stage5_extreme_game,D:\PursuerEvaderGame\Drones\runs\mappo_3d\default\20260226_012031_ours_s0\policy.pt,D:\PursuerEvaderGame\Drones\runs\mappo_3d\speed_sweep\20260308_115302_full_baselines\b3_full_obs_ippo\s0\configs\config_stage5_speed_9p0.json,D:\PursuerEvaderGame\Drones\runs\mappo_3d\speed_sweep\20260308_115302_full_baselines\b3_full_obs_ippo\s0\logs\eval_stage5_speed_9p0.jsonl,0,200,200.0,0.78,0.775,0.225,0.0,477.59,9.852430468068466
b3_full_obs_ippo,0,0,9.5,4,stage5_extreme_game,D:\PursuerEvaderGame\Drones\runs\mappo_3d\default\20260226_012031_ours_s0\policy.pt,D:\PursuerEvaderGame\Drones\runs\mappo_3d\speed_sweep\20260308_115302_full_baselines\b3_full_obs_ippo\s0\configs\config_stage5_speed_9p5.json,D:\PursuerEvaderGame\Drones\runs\mappo_3d\speed_sweep\20260308_115302_full_baselines\b3_full_obs_ippo\s0\logs\eval_stage5_speed_9p5.jsonl,0,200,200.0,0.725,0.725,0.275,0.0,570.985,9.694314931093585
b3_full_obs_ippo,0,0,10.0,4,stage5_extreme_game,D:\PursuerEvaderGame\Drones\runs\mappo_3d\default\20260226_012031_ours_s0\policy.pt,D:\PursuerEvaderGame\Drones\runs\mappo_3d\speed_sweep\20260308_115302_full_baselines\b3_full_obs_ippo\s0\configs\config_stage5_speed_10p0.json,D:\PursuerEvaderGame\Drones\runs\mappo_3d\speed_sweep\20260308_115302_full_baselines\b3_full_obs_ippo\s0\logs\eval_stage5_speed_10p0.jsonl,0,200,200.0,0.725,0.725,0.275,0.0,516.845,9.187883700448312
