model,display_name,baseline,model_seed,eval_seed,yaw_rate_label,yaw_rate_limit_radps,effective_yaw_rate_cap_radps,stage_index,stage_name,policy_path,config_path,eval_log_path,seed,episodes_requested,episodes,success_rate,clean_capture_rate,collision_rate,timeout_rate,avg_steps,avg_min_dist
euclidean,Euclidean,b2_euclidean_guidance,0,0,0.2,0.2,0.2,4,stage5_extreme_game,D:\PursuerEvaderGame\Drones\runs\mappo_3d\default\20260228_050622_b2_euclidean_guidance_s0\policy.pt,D:\PursuerEvaderGame\Drones\runs\mappo_3d\robustness_suite\20260308_144045_stage5_robustness\yaw_rate_sweep\euclidean\s0\configs\config_stage5_yaw_rate_0p2.json,D:\PursuerEvaderGame\Drones\runs\mappo_3d\robustness_suite\20260308_144045_stage5_robustness\yaw_rate_sweep\euclidean\s0\logs\eval_stage5_yaw_rate_0p2.jsonl,0,200,200.0,0.37,0.37,0.565,0.065,1131.045,20.430155770307387
euclidean,Euclidean,b2_euclidean_guidance,0,0,0.4,0.4,0.4,4,stage5_extreme_game,D:\PursuerEvaderGame\Drones\runs\mappo_3d\default\20260228_050622_b2_euclidean_guidance_s0\policy.pt,D:\PursuerEvaderGame\Drones\runs\mappo_3d\robustness_suite\20260308_144045_stage5_robustness\yaw_rate_sweep\euclidean\s0\configs\config_stage5_yaw_rate_0p4.json,D:\PursuerEvaderGame\Drones\runs\mappo_3d\robustness_suite\20260308_144045_stage5_robustness\yaw_rate_sweep\euclidean\s0\logs\eval_stage5_yaw_rate_0p4.jsonl,0,200,200.0,0.37,0.37,0.56,0.07,996.865,18.514662669095763
euclidean,Euclidean,b2_euclidean_guidance,0,0,0.6,0.6,0.6,4,stage5_extreme_game,D:\PursuerEvaderGame\Drones\runs\mappo_3d\default\20260228_050622_b2_euclidean_guidance_s0\policy.pt,D:\PursuerEvaderGame\Drones\runs\mappo_3d\robustness_suite\20260308_144045_stage5_robustness\yaw_rate_sweep\euclidean\s0\configs\config_stage5_yaw_rate_0p6.json,D:\PursuerEvaderGame\Drones\runs\mappo_3d\robustness_suite\20260308_144045_stage5_robustness\yaw_rate_sweep\euclidean\s0\logs\eval_stage5_yaw_rate_0p6.jsonl,0,200,200.0,0.465,0.465,0.48,0.055,841.295,16.282346879763942
euclidean,Euclidean,b2_euclidean_guidance,0,0,0.8,0.8,0.8,4,stage5_extreme_game,D:\PursuerEvaderGame\Drones\runs\mappo_3d\default\20260228_050622_b2_euclidean_guidance_s0\policy.pt,D:\PursuerEvaderGame\Drones\runs\mappo_3d\robustness_suite\20260308_144045_stage5_robustness\yaw_rate_sweep\euclidean\s0\configs\config_stage5_yaw_rate_0p8.json,D:\PursuerEvaderGame\Drones\runs\mappo_3d\robustness_suite\20260308_144045_stage5_robustness\yaw_rate_sweep\euclidean\s0\logs\eval_stage5_yaw_rate_0p8.jsonl,0,200,200.0,0.53,0.53,0.415,0.055,786.31,17.045004431652035
