model,display_name,baseline,model_seed,eval_seed,delay_steps,stage_index,stage_name,policy_path,config_path,eval_log_path,seed,episodes_requested,episodes,success_rate,clean_capture_rate,collision_rate,timeout_rate,avg_steps,avg_min_dist
full_obs,full_obs,b3_full_obs_ippo,0,3,0,4,stage5_extreme_game,D:\PursuerEvaderGame\Drones\runs\mappo_3d\default\20260226_012031_b3_full_obs_ippo_s0\policy.pt,D:\PursuerEvaderGame\Drones\runs\mappo_3d\robustness_suite\20260308_144045_stage5_robustness\action_delay_sweep\full_obs\s3\configs\config_stage5_action_delay_0step.json,D:\PursuerEvaderGame\Drones\runs\mappo_3d\robustness_suite\20260308_144045_stage5_robustness\action_delay_sweep\full_obs\s3\logs\eval_stage5_action_delay_0step.jsonl,3,200,200.0,0.795,0.795,0.205,0.0,530.725,9.186868196186769
full_obs,full_obs,b3_full_obs_ippo,0,3,1,4,stage5_extreme_game,D:\PursuerEvaderGame\Drones\runs\mappo_3d\default\20260226_012031_b3_full_obs_ippo_s0\policy.pt,D:\PursuerEvaderGame\Drones\runs\mappo_3d\robustness_suite\20260308_144045_stage5_robustness\action_delay_sweep\full_obs\s3\configs\config_stage5_action_delay_1step.json,D:\PursuerEvaderGame\Drones\runs\mappo_3d\robustness_suite\20260308_144045_stage5_robustness\action_delay_sweep\full_obs\s3\logs\eval_stage5_action_delay_1step.jsonl,3,200,200.0,0.745,0.74,0.255,0.005,457.725,9.694543123788101
full_obs,full_obs,b3_full_obs_ippo,0,3,2,4,stage5_extreme_game,D:\PursuerEvaderGame\Drones\runs\mappo_3d\default\20260226_012031_b3_full_obs_ippo_s0\policy.pt,D:\PursuerEvaderGame\Drones\runs\mappo_3d\robustness_suite\20260308_144045_stage5_robustness\action_delay_sweep\full_obs\s3\configs\config_stage5_action_delay_2step.json,D:\PursuerEvaderGame\Drones\runs\mappo_3d\robustness_suite\20260308_144045_stage5_robustness\action_delay_sweep\full_obs\s3\logs\eval_stage5_action_delay_2step.jsonl,3,200,200.0,0.755,0.755,0.245,0.0,541.7,9.419306269601964
full_obs,full_obs,b3_full_obs_ippo,0,3,3,4,stage5_extreme_game,D:\PursuerEvaderGame\Drones\runs\mappo_3d\default\20260226_012031_b3_full_obs_ippo_s0\policy.pt,D:\PursuerEvaderGame\Drones\runs\mappo_3d\robustness_suite\20260308_144045_stage5_robustness\action_delay_sweep\full_obs\s3\configs\config_stage5_action_delay_3step.json,D:\PursuerEvaderGame\Drones\runs\mappo_3d\robustness_suite\20260308_144045_stage5_robustness\action_delay_sweep\full_obs\s3\logs\eval_stage5_action_delay_3step.jsonl,3,200,200.0,0.76,0.76,0.24,0.0,509.85,9.905628570162566
