model,display_name,baseline,model_seed,eval_seed,delay_steps,stage_index,stage_name,policy_path,config_path,eval_log_path,seed,episodes_requested,episodes,success_rate,clean_capture_rate,collision_rate,timeout_rate,avg_steps,avg_min_dist
euclidean,Euclidean,b2_euclidean_guidance,2,2,0,4,stage5_extreme_game,D:\PursuerEvaderGame\Drones\runs\mappo_3d\default\20260228_222028_b2_euclidean_guidance_s2\policy.pt,D:\PursuerEvaderGame\Drones\runs\mappo_3d\robustness_suite\20260308_144045_stage5_robustness\action_delay_sweep\euclidean\s2\configs\config_stage5_action_delay_0step.json,D:\PursuerEvaderGame\Drones\runs\mappo_3d\robustness_suite\20260308_144045_stage5_robustness\action_delay_sweep\euclidean\s2\logs\eval_stage5_action_delay_0step.jsonl,2,200,200.0,0.45,0.45,0.445,0.105,1146.425,20.355616062833352
euclidean,Euclidean,b2_euclidean_guidance,2,2,1,4,stage5_extreme_game,D:\PursuerEvaderGame\Drones\runs\mappo_3d\default\20260228_222028_b2_euclidean_guidance_s2\policy.pt,D:\PursuerEvaderGame\Drones\runs\mappo_3d\robustness_suite\20260308_144045_stage5_robustness\action_delay_sweep\euclidean\s2\configs\config_stage5_action_delay_1step.json,D:\PursuerEvaderGame\Drones\runs\mappo_3d\robustness_suite\20260308_144045_stage5_robustness\action_delay_sweep\euclidean\s2\logs\eval_stage5_action_delay_1step.jsonl,2,200,200.0,0.44,0.44,0.445,0.115,1299.725,18.9582890288487
euclidean,Euclidean,b2_euclidean_guidance,2,2,2,4,stage5_extreme_game,D:\PursuerEvaderGame\Drones\runs\mappo_3d\default\20260228_222028_b2_euclidean_guidance_s2\policy.pt,D:\PursuerEvaderGame\Drones\runs\mappo_3d\robustness_suite\20260308_144045_stage5_robustness\action_delay_sweep\euclidean\s2\configs\config_stage5_action_delay_2step.json,D:\PursuerEvaderGame\Drones\runs\mappo_3d\robustness_suite\20260308_144045_stage5_robustness\action_delay_sweep\euclidean\s2\logs\eval_stage5_action_delay_2step.jsonl,2,200,200.0,0.43,0.43,0.445,0.125,1266.245,20.329851002687548
euclidean,Euclidean,b2_euclidean_guidance,2,2,3,4,stage5_extreme_game,D:\PursuerEvaderGame\Drones\runs\mappo_3d\default\20260228_222028_b2_euclidean_guidance_s2\policy.pt,D:\PursuerEvaderGame\Drones\runs\mappo_3d\robustness_suite\20260308_144045_stage5_robustness\action_delay_sweep\euclidean\s2\configs\config_stage5_action_delay_3step.json,D:\PursuerEvaderGame\Drones\runs\mappo_3d\robustness_suite\20260308_144045_stage5_robustness\action_delay_sweep\euclidean\s2\logs\eval_stage5_action_delay_3step.jsonl,2,200,200.0,0.345,0.345,0.55,0.105,1223.805,20.80481424595929
