model,display_name,baseline,model_seed,eval_seed,yaw_rate_label,yaw_rate_limit_radps,effective_yaw_rate_cap_radps,stage_index,stage_name,policy_path,config_path,eval_log_path,seed,episodes_requested,episodes,success_rate,clean_capture_rate,collision_rate,timeout_rate,avg_steps,avg_min_dist
apf,APF,b1_traditional_apf_pn,1,1,0.2,0.2,0.2,4,stage5_extreme_game,,D:\PursuerEvaderGame\Drones\runs\mappo_3d\robustness_suite\20260308_144045_stage5_robustness\yaw_rate_sweep\apf\s1\configs\config_stage5_yaw_rate_0p2.json,D:\PursuerEvaderGame\Drones\runs\mappo_3d\robustness_suite\20260308_144045_stage5_robustness\yaw_rate_sweep\apf\s1\logs\eval_stage5_yaw_rate_0p2.jsonl,1,200,200.0,0.105,0.105,0.895,0.0,126.045,52.89099316688431
apf,APF,b1_traditional_apf_pn,1,1,0.4,0.4,0.4,4,stage5_extreme_game,,D:\PursuerEvaderGame\Drones\runs\mappo_3d\robustness_suite\20260308_144045_stage5_robustness\yaw_rate_sweep\apf\s1\configs\config_stage5_yaw_rate_0p4.json,D:\PursuerEvaderGame\Drones\runs\mappo_3d\robustness_suite\20260308_144045_stage5_robustness\yaw_rate_sweep\apf\s1\logs\eval_stage5_yaw_rate_0p4.jsonl,1,200,200.0,0.14,0.14,0.86,0.0,129.57,53.334713949884055
apf,APF,b1_traditional_apf_pn,1,1,0.6,0.6,0.6,4,stage5_extreme_game,,D:\PursuerEvaderGame\Drones\runs\mappo_3d\robustness_suite\20260308_144045_stage5_robustness\yaw_rate_sweep\apf\s1\configs\config_stage5_yaw_rate_0p6.json,D:\PursuerEvaderGame\Drones\runs\mappo_3d\robustness_suite\20260308_144045_stage5_robustness\yaw_rate_sweep\apf\s1\logs\eval_stage5_yaw_rate_0p6.jsonl,1,200,200.0,0.08,0.08,0.92,0.0,125.315,49.85803807909255
apf,APF,b1_traditional_apf_pn,1,1,0.8,0.8,0.8,4,stage5_extreme_game,,D:\PursuerEvaderGame\Drones\runs\mappo_3d\robustness_suite\20260308_144045_stage5_robustness\yaw_rate_sweep\apf\s1\configs\config_stage5_yaw_rate_0p8.json,D:\PursuerEvaderGame\Drones\runs\mappo_3d\robustness_suite\20260308_144045_stage5_robustness\yaw_rate_sweep\apf\s1\logs\eval_stage5_yaw_rate_0p8.jsonl,1,200,200.0,0.1,0.1,0.9,0.0,113.435,53.38874218889249
