model,display_name,baseline,model_seed,eval_seed,delay_steps,stage_index,stage_name,policy_path,config_path,eval_log_path,seed,episodes_requested,episodes,success_rate,clean_capture_rate,collision_rate,timeout_rate,avg_steps,avg_min_dist
full_obs,full_obs,b3_full_obs_ippo,1,4,0,4,stage5_extreme_game,D:\PursuerEvaderGame\Drones\runs\mappo_3d\default\20260226_180222_b3_full_obs_ippo_s1\policy.pt,D:\PursuerEvaderGame\Drones\runs\mappo_3d\robustness_suite\20260308_144045_stage5_robustness\action_delay_sweep\full_obs\s4\configs\config_stage5_action_delay_0step.json,D:\PursuerEvaderGame\Drones\runs\mappo_3d\robustness_suite\20260308_144045_stage5_robustness\action_delay_sweep\full_obs\s4\logs\eval_stage5_action_delay_0step.jsonl,4,200,200.0,0.71,0.71,0.29,0.0,408.765,10.995915113337801
full_obs,full_obs,b3_full_obs_ippo,1,4,1,4,stage5_extreme_game,D:\PursuerEvaderGame\Drones\runs\mappo_3d\default\20260226_180222_b3_full_obs_ippo_s1\policy.pt,D:\PursuerEvaderGame\Drones\runs\mappo_3d\robustness_suite\20260308_144045_stage5_robustness\action_delay_sweep\full_obs\s4\configs\config_stage5_action_delay_1step.json,D:\PursuerEvaderGame\Drones\runs\mappo_3d\robustness_suite\20260308_144045_stage5_robustness\action_delay_sweep\full_obs\s4\logs\eval_stage5_action_delay_1step.jsonl,4,200,200.0,0.66,0.655,0.345,0.0,480.975,13.502541024051357
full_obs,full_obs,b3_full_obs_ippo,1,4,2,4,stage5_extreme_game,D:\PursuerEvaderGame\Drones\runs\mappo_3d\default\20260226_180222_b3_full_obs_ippo_s1\policy.pt,D:\PursuerEvaderGame\Drones\runs\mappo_3d\robustness_suite\20260308_144045_stage5_robustness\action_delay_sweep\full_obs\s4\configs\config_stage5_action_delay_2step.json,D:\PursuerEvaderGame\Drones\runs\mappo_3d\robustness_suite\20260308_144045_stage5_robustness\action_delay_sweep\full_obs\s4\logs\eval_stage5_action_delay_2step.jsonl,4,200,200.0,0.55,0.55,0.45,0.0,523.65,13.302501956499874
full_obs,full_obs,b3_full_obs_ippo,1,4,3,4,stage5_extreme_game,D:\PursuerEvaderGame\Drones\runs\mappo_3d\default\20260226_180222_b3_full_obs_ippo_s1\policy.pt,D:\PursuerEvaderGame\Drones\runs\mappo_3d\robustness_suite\20260308_144045_stage5_robustness\action_delay_sweep\full_obs\s4\configs\config_stage5_action_delay_3step.json,D:\PursuerEvaderGame\Drones\runs\mappo_3d\robustness_suite\20260308_144045_stage5_robustness\action_delay_sweep\full_obs\s4\logs\eval_stage5_action_delay_3step.jsonl,4,200,200.0,0.57,0.57,0.43,0.0,496.115,14.531859877083045
