baseline,model_seed,eval_seed,speed_mps,stage_index,stage_name,policy_path,config_path,eval_log_path,seed,episodes_requested,episodes,success_rate,clean_capture_rate,collision_rate,timeout_rate,avg_steps,avg_min_dist
ours,1,1,7.0,4,stage5_extreme_game,D:\PursuerEvaderGame\Drones\runs\mappo_3d\default\20260302_000846_b3_local_obs_ippo_s1\policy.pt,D:\PursuerEvaderGame\Drones\runs\mappo_3d\speed_sweep\20260308_115302_full_baselines\ours\s1\configs\config_stage5_speed_7p0.json,D:\PursuerEvaderGame\Drones\runs\mappo_3d\speed_sweep\20260308_115302_full_baselines\ours\s1\logs\eval_stage5_speed_7p0.jsonl,1,200,200.0,0.885,0.885,0.11,0.005,460.785,9.284245906740544
ours,1,1,8.0,4,stage5_extreme_game,D:\PursuerEvaderGame\Drones\runs\mappo_3d\default\20260302_000846_b3_local_obs_ippo_s1\policy.pt,D:\PursuerEvaderGame\Drones\runs\mappo_3d\speed_sweep\20260308_115302_full_baselines\ours\s1\configs\config_stage5_speed_8p0.json,D:\PursuerEvaderGame\Drones\runs\mappo_3d\speed_sweep\20260308_115302_full_baselines\ours\s1\logs\eval_stage5_speed_8p0.jsonl,1,200,200.0,0.875,0.87,0.125,0.005,535.775,9.300326180163038
ours,1,1,8.5,4,stage5_extreme_game,D:\PursuerEvaderGame\Drones\runs\mappo_3d\default\20260302_000846_b3_local_obs_ippo_s1\policy.pt,D:\PursuerEvaderGame\Drones\runs\mappo_3d\speed_sweep\20260308_115302_full_baselines\ours\s1\configs\config_stage5_speed_8p5.json,D:\PursuerEvaderGame\Drones\runs\mappo_3d\speed_sweep\20260308_115302_full_baselines\ours\s1\logs\eval_stage5_speed_8p5.jsonl,1,200,200.0,0.83,0.825,0.15,0.025,578.315,9.850067816048648
ours,1,1,9.0,4,stage5_extreme_game,D:\PursuerEvaderGame\Drones\runs\mappo_3d\default\20260302_000846_b3_local_obs_ippo_s1\policy.pt,D:\PursuerEvaderGame\Drones\runs\mappo_3d\speed_sweep\20260308_115302_full_baselines\ours\s1\configs\config_stage5_speed_9p0.json,D:\PursuerEvaderGame\Drones\runs\mappo_3d\speed_sweep\20260308_115302_full_baselines\ours\s1\logs\eval_stage5_speed_9p0.jsonl,1,200,200.0,0.835,0.835,0.155,0.01,575.285,10.601157272085567
ours,1,1,9.5,4,stage5_extreme_game,D:\PursuerEvaderGame\Drones\runs\mappo_3d\default\20260302_000846_b3_local_obs_ippo_s1\policy.pt,D:\PursuerEvaderGame\Drones\runs\mappo_3d\speed_sweep\20260308_115302_full_baselines\ours\s1\configs\config_stage5_speed_9p5.json,D:\PursuerEvaderGame\Drones\runs\mappo_3d\speed_sweep\20260308_115302_full_baselines\ours\s1\logs\eval_stage5_speed_9p5.jsonl,1,200,200.0,0.82,0.82,0.18,0.0,553.135,10.801860891660779
ours,1,1,10.0,4,stage5_extreme_game,D:\PursuerEvaderGame\Drones\runs\mappo_3d\default\20260302_000846_b3_local_obs_ippo_s1\policy.pt,D:\PursuerEvaderGame\Drones\runs\mappo_3d\speed_sweep\20260308_115302_full_baselines\ours\s1\configs\config_stage5_speed_10p0.json,D:\PursuerEvaderGame\Drones\runs\mappo_3d\speed_sweep\20260308_115302_full_baselines\ours\s1\logs\eval_stage5_speed_10p0.jsonl,1,200,200.0,0.825,0.82,0.18,0.0,581.765,10.091593394706937
