model,display_name,baseline,model_seed,eval_seed,delay_steps,stage_index,stage_name,policy_path,config_path,eval_log_path,seed,episodes_requested,episodes,success_rate,clean_capture_rate,collision_rate,timeout_rate,avg_steps,avg_min_dist
ours,Ours,ours,0,0,0,4,stage5_extreme_game,D:\PursuerEvaderGame\Drones\runs\mappo_3d\default\20260301_083512_b3_local_obs_ippo_s0\policy.pt,D:\PursuerEvaderGame\Drones\runs\mappo_3d\robustness_suite\20260308_144045_stage5_robustness\action_delay_sweep\ours\s0\configs\config_stage5_action_delay_0step.json,D:\PursuerEvaderGame\Drones\runs\mappo_3d\robustness_suite\20260308_144045_stage5_robustness\action_delay_sweep\ours\s0\logs\eval_stage5_action_delay_0step.jsonl,0,200,200.0,0.91,0.905,0.095,0.0,344.4,8.934800887138035
ours,Ours,ours,0,0,1,4,stage5_extreme_game,D:\PursuerEvaderGame\Drones\runs\mappo_3d\default\20260301_083512_b3_local_obs_ippo_s0\policy.pt,D:\PursuerEvaderGame\Drones\runs\mappo_3d\robustness_suite\20260308_144045_stage5_robustness\action_delay_sweep\ours\s0\configs\config_stage5_action_delay_1step.json,D:\PursuerEvaderGame\Drones\runs\mappo_3d\robustness_suite\20260308_144045_stage5_robustness\action_delay_sweep\ours\s0\logs\eval_stage5_action_delay_1step.jsonl,0,200,200.0,0.785,0.785,0.215,0.0,401.245,9.829085966100676
ours,Ours,ours,0,0,2,4,stage5_extreme_game,D:\PursuerEvaderGame\Drones\runs\mappo_3d\default\20260301_083512_b3_local_obs_ippo_s0\policy.pt,D:\PursuerEvaderGame\Drones\runs\mappo_3d\robustness_suite\20260308_144045_stage5_robustness\action_delay_sweep\ours\s0\configs\config_stage5_action_delay_2step.json,D:\PursuerEvaderGame\Drones\runs\mappo_3d\robustness_suite\20260308_144045_stage5_robustness\action_delay_sweep\ours\s0\logs\eval_stage5_action_delay_2step.jsonl,0,200,200.0,0.78,0.775,0.225,0.0,434.0,9.829910077442031
ours,Ours,ours,0,0,3,4,stage5_extreme_game,D:\PursuerEvaderGame\Drones\runs\mappo_3d\default\20260301_083512_b3_local_obs_ippo_s0\policy.pt,D:\PursuerEvaderGame\Drones\runs\mappo_3d\robustness_suite\20260308_144045_stage5_robustness\action_delay_sweep\ours\s0\configs\config_stage5_action_delay_3step.json,D:\PursuerEvaderGame\Drones\runs\mappo_3d\robustness_suite\20260308_144045_stage5_robustness\action_delay_sweep\ours\s0\logs\eval_stage5_action_delay_3step.jsonl,0,200,200.0,0.76,0.755,0.245,0.0,463.16,9.926952841152888
