baseline,model_seed,eval_seed,speed_mps,stage_index,stage_name,policy_path,config_path,eval_log_path,seed,episodes_requested,episodes,success_rate,clean_capture_rate,collision_rate,timeout_rate,avg_steps,avg_min_dist
b1_traditional_apf_pn,2,2,7.0,4,stage5_extreme_game,,D:\PursuerEvaderGame\Drones\runs\mappo_3d\speed_sweep\20260308_115302_full_baselines\APF+PN\s2\configs\config_stage5_speed_7p0.json,D:\PursuerEvaderGame\Drones\runs\mappo_3d\speed_sweep\20260308_115302_full_baselines\APF+PN\s2\logs\eval_stage5_speed_7p0.jsonl,2,200,200.0,0.065,0.065,0.935,0.0,117.125,54.08164973289669
b1_traditional_apf_pn,2,2,8.0,4,stage5_extreme_game,,D:\PursuerEvaderGame\Drones\runs\mappo_3d\speed_sweep\20260308_115302_full_baselines\APF+PN\s2\configs\config_stage5_speed_8p0.json,D:\PursuerEvaderGame\Drones\runs\mappo_3d\speed_sweep\20260308_115302_full_baselines\APF+PN\s2\logs\eval_stage5_speed_8p0.jsonl,2,200,200.0,0.07,0.07,0.93,0.0,109.505,54.52235679600321
b1_traditional_apf_pn,2,2,8.5,4,stage5_extreme_game,,D:\PursuerEvaderGame\Drones\runs\mappo_3d\speed_sweep\20260308_115302_full_baselines\APF+PN\s2\configs\config_stage5_speed_8p5.json,D:\PursuerEvaderGame\Drones\runs\mappo_3d\speed_sweep\20260308_115302_full_baselines\APF+PN\s2\logs\eval_stage5_speed_8p5.jsonl,2,200,200.0,0.115,0.11,0.89,0.0,125.825,48.793373266939824
b1_traditional_apf_pn,2,2,9.0,4,stage5_extreme_game,,D:\PursuerEvaderGame\Drones\runs\mappo_3d\speed_sweep\20260308_115302_full_baselines\APF+PN\s2\configs\config_stage5_speed_9p0.json,D:\PursuerEvaderGame\Drones\runs\mappo_3d\speed_sweep\20260308_115302_full_baselines\APF+PN\s2\logs\eval_stage5_speed_9p0.jsonl,2,200,200.0,0.085,0.085,0.915,0.0,119.91,52.17191742577712
b1_traditional_apf_pn,2,2,9.5,4,stage5_extreme_game,,D:\PursuerEvaderGame\Drones\runs\mappo_3d\speed_sweep\20260308_115302_full_baselines\APF+PN\s2\configs\config_stage5_speed_9p5.json,D:\PursuerEvaderGame\Drones\runs\mappo_3d\speed_sweep\20260308_115302_full_baselines\APF+PN\s2\logs\eval_stage5_speed_9p5.jsonl,2,200,200.0,0.055,0.055,0.945,0.0,104.01,53.92939149148021
b1_traditional_apf_pn,2,2,10.0,4,stage5_extreme_game,,D:\PursuerEvaderGame\Drones\runs\mappo_3d\speed_sweep\20260308_115302_full_baselines\APF+PN\s2\configs\config_stage5_speed_10p0.json,D:\PursuerEvaderGame\Drones\runs\mappo_3d\speed_sweep\20260308_115302_full_baselines\APF+PN\s2\logs\eval_stage5_speed_10p0.jsonl,2,200,200.0,0.095,0.095,0.905,0.0,108.64,55.15609944545242
