model,display_name,baseline,model_seed,eval_seed,delay_steps,stage_index,stage_name,policy_path,config_path,eval_log_path,seed,episodes_requested,episodes,success_rate,clean_capture_rate,collision_rate,timeout_rate,avg_steps,avg_min_dist
full_obs,full_obs,b3_full_obs_ippo,0,0,0,4,stage5_extreme_game,D:\PursuerEvaderGame\Drones\runs\mappo_3d\default\20260226_012031_ours_s0\policy.pt,D:\PursuerEvaderGame\Drones\runs\mappo_3d\robustness_suite\20260308_144045_stage5_robustness\action_delay_sweep\full_obs\s0\configs\config_stage5_action_delay_0step.json,D:\PursuerEvaderGame\Drones\runs\mappo_3d\robustness_suite\20260308_144045_stage5_robustness\action_delay_sweep\full_obs\s0\logs\eval_stage5_action_delay_0step.jsonl,0,200,200.0,0.78,0.775,0.225,0.0,477.59,9.852430468068466
full_obs,full_obs,b3_full_obs_ippo,0,0,1,4,stage5_extreme_game,D:\PursuerEvaderGame\Drones\runs\mappo_3d\default\20260226_012031_ours_s0\policy.pt,D:\PursuerEvaderGame\Drones\runs\mappo_3d\robustness_suite\20260308_144045_stage5_robustness\action_delay_sweep\full_obs\s0\configs\config_stage5_action_delay_1step.json,D:\PursuerEvaderGame\Drones\runs\mappo_3d\robustness_suite\20260308_144045_stage5_robustness\action_delay_sweep\full_obs\s0\logs\eval_stage5_action_delay_1step.jsonl,0,200,200.0,0.835,0.83,0.17,0.0,469.71,9.021990875339755
full_obs,full_obs,b3_full_obs_ippo,0,0,2,4,stage5_extreme_game,D:\PursuerEvaderGame\Drones\runs\mappo_3d\default\20260226_012031_ours_s0\policy.pt,D:\PursuerEvaderGame\Drones\runs\mappo_3d\robustness_suite\20260308_144045_stage5_robustness\action_delay_sweep\full_obs\s0\configs\config_stage5_action_delay_2step.json,D:\PursuerEvaderGame\Drones\runs\mappo_3d\robustness_suite\20260308_144045_stage5_robustness\action_delay_sweep\full_obs\s0\logs\eval_stage5_action_delay_2step.jsonl,0,200,200.0,0.75,0.74,0.26,0.0,533.37,10.291683455763232
full_obs,full_obs,b3_full_obs_ippo,0,0,3,4,stage5_extreme_game,D:\PursuerEvaderGame\Drones\runs\mappo_3d\default\20260226_012031_ours_s0\policy.pt,D:\PursuerEvaderGame\Drones\runs\mappo_3d\robustness_suite\20260308_144045_stage5_robustness\action_delay_sweep\full_obs\s0\configs\config_stage5_action_delay_3step.json,D:\PursuerEvaderGame\Drones\runs\mappo_3d\robustness_suite\20260308_144045_stage5_robustness\action_delay_sweep\full_obs\s0\logs\eval_stage5_action_delay_3step.jsonl,0,200,200.0,0.74,0.74,0.26,0.0,530.4,9.679171864132966
