baseline,model_seed,eval_seed,speed_mps,stage_index,stage_name,policy_path,config_path,eval_log_path,seed,episodes_requested,episodes,success_rate,clean_capture_rate,collision_rate,timeout_rate,avg_steps,avg_min_dist
ours,2,2,7.0,4,stage5_extreme_game,D:\PursuerEvaderGame\Drones\runs\mappo_3d\default\20260302_161638_b3_local_obs_ippo_s2\policy.pt,D:\PursuerEvaderGame\Drones\runs\mappo_3d\speed_sweep\20260308_115302_full_baselines\ours\s2\configs\config_stage5_speed_7p0.json,D:\PursuerEvaderGame\Drones\runs\mappo_3d\speed_sweep\20260308_115302_full_baselines\ours\s2\logs\eval_stage5_speed_7p0.jsonl,2,200,200.0,0.88,0.875,0.125,0.0,350.195,9.459389651963157
ours,2,2,8.0,4,stage5_extreme_game,D:\PursuerEvaderGame\Drones\runs\mappo_3d\default\20260302_161638_b3_local_obs_ippo_s2\policy.pt,D:\PursuerEvaderGame\Drones\runs\mappo_3d\speed_sweep\20260308_115302_full_baselines\ours\s2\configs\config_stage5_speed_8p0.json,D:\PursuerEvaderGame\Drones\runs\mappo_3d\speed_sweep\20260308_115302_full_baselines\ours\s2\logs\eval_stage5_speed_8p0.jsonl,2,200,200.0,0.79,0.79,0.21,0.0,364.295,9.280105872884874
ours,2,2,8.5,4,stage5_extreme_game,D:\PursuerEvaderGame\Drones\runs\mappo_3d\default\20260302_161638_b3_local_obs_ippo_s2\policy.pt,D:\PursuerEvaderGame\Drones\runs\mappo_3d\speed_sweep\20260308_115302_full_baselines\ours\s2\configs\config_stage5_speed_8p5.json,D:\PursuerEvaderGame\Drones\runs\mappo_3d\speed_sweep\20260308_115302_full_baselines\ours\s2\logs\eval_stage5_speed_8p5.jsonl,2,200,200.0,0.74,0.74,0.26,0.0,388.355,10.7961091833827
ours,2,2,9.0,4,stage5_extreme_game,D:\PursuerEvaderGame\Drones\runs\mappo_3d\default\20260302_161638_b3_local_obs_ippo_s2\policy.pt,D:\PursuerEvaderGame\Drones\runs\mappo_3d\speed_sweep\20260308_115302_full_baselines\ours\s2\configs\config_stage5_speed_9p0.json,D:\PursuerEvaderGame\Drones\runs\mappo_3d\speed_sweep\20260308_115302_full_baselines\ours\s2\logs\eval_stage5_speed_9p0.jsonl,2,200,200.0,0.75,0.75,0.25,0.0,372.29,10.15373786987684
ours,2,2,9.5,4,stage5_extreme_game,D:\PursuerEvaderGame\Drones\runs\mappo_3d\default\20260302_161638_b3_local_obs_ippo_s2\policy.pt,D:\PursuerEvaderGame\Drones\runs\mappo_3d\speed_sweep\20260308_115302_full_baselines\ours\s2\configs\config_stage5_speed_9p5.json,D:\PursuerEvaderGame\Drones\runs\mappo_3d\speed_sweep\20260308_115302_full_baselines\ours\s2\logs\eval_stage5_speed_9p5.jsonl,2,200,200.0,0.735,0.735,0.265,0.0,424.16,9.892747957887154
ours,2,2,10.0,4,stage5_extreme_game,D:\PursuerEvaderGame\Drones\runs\mappo_3d\default\20260302_161638_b3_local_obs_ippo_s2\policy.pt,D:\PursuerEvaderGame\Drones\runs\mappo_3d\speed_sweep\20260308_115302_full_baselines\ours\s2\configs\config_stage5_speed_10p0.json,D:\PursuerEvaderGame\Drones\runs\mappo_3d\speed_sweep\20260308_115302_full_baselines\ours\s2\logs\eval_stage5_speed_10p0.jsonl,2,200,200.0,0.715,0.715,0.285,0.0,431.215,10.159167505104199
