baseline,model_seed,eval_seed,speed_mps,stage_index,stage_name,policy_path,config_path,eval_log_path,seed,episodes_requested,episodes,success_rate,clean_capture_rate,collision_rate,timeout_rate,avg_steps,avg_min_dist
b1_traditional_apf_pn,1,1,7.0,4,stage5_extreme_game,,D:\PursuerEvaderGame\Drones\runs\mappo_3d\speed_sweep\20260308_115302_full_baselines\APF+PN\s1\configs\config_stage5_speed_7p0.json,D:\PursuerEvaderGame\Drones\runs\mappo_3d\speed_sweep\20260308_115302_full_baselines\APF+PN\s1\logs\eval_stage5_speed_7p0.jsonl,1,200,200.0,0.1,0.1,0.9,0.0,122.64,51.47727699415762
b1_traditional_apf_pn,1,1,8.0,4,stage5_extreme_game,,D:\PursuerEvaderGame\Drones\runs\mappo_3d\speed_sweep\20260308_115302_full_baselines\APF+PN\s1\configs\config_stage5_speed_8p0.json,D:\PursuerEvaderGame\Drones\runs\mappo_3d\speed_sweep\20260308_115302_full_baselines\APF+PN\s1\logs\eval_stage5_speed_8p0.jsonl,1,200,200.0,0.105,0.105,0.895,0.0,102.26,53.39855078485142
b1_traditional_apf_pn,1,1,8.5,4,stage5_extreme_game,,D:\PursuerEvaderGame\Drones\runs\mappo_3d\speed_sweep\20260308_115302_full_baselines\APF+PN\s1\configs\config_stage5_speed_8p5.json,D:\PursuerEvaderGame\Drones\runs\mappo_3d\speed_sweep\20260308_115302_full_baselines\APF+PN\s1\logs\eval_stage5_speed_8p5.jsonl,1,200,200.0,0.1,0.095,0.905,0.0,111.385,54.50046464068942
b1_traditional_apf_pn,1,1,9.0,4,stage5_extreme_game,,D:\PursuerEvaderGame\Drones\runs\mappo_3d\speed_sweep\20260308_115302_full_baselines\APF+PN\s1\configs\config_stage5_speed_9p0.json,D:\PursuerEvaderGame\Drones\runs\mappo_3d\speed_sweep\20260308_115302_full_baselines\APF+PN\s1\logs\eval_stage5_speed_9p0.jsonl,1,200,200.0,0.1,0.1,0.9,0.0,113.435,53.38874218889249
b1_traditional_apf_pn,1,1,9.5,4,stage5_extreme_game,,D:\PursuerEvaderGame\Drones\runs\mappo_3d\speed_sweep\20260308_115302_full_baselines\APF+PN\s1\configs\config_stage5_speed_9p5.json,D:\PursuerEvaderGame\Drones\runs\mappo_3d\speed_sweep\20260308_115302_full_baselines\APF+PN\s1\logs\eval_stage5_speed_9p5.jsonl,1,200,200.0,0.095,0.095,0.905,0.0,105.675,53.90614901313893
b1_traditional_apf_pn,1,1,10.0,4,stage5_extreme_game,,D:\PursuerEvaderGame\Drones\runs\mappo_3d\speed_sweep\20260308_115302_full_baselines\APF+PN\s1\configs\config_stage5_speed_10p0.json,D:\PursuerEvaderGame\Drones\runs\mappo_3d\speed_sweep\20260308_115302_full_baselines\APF+PN\s1\logs\eval_stage5_speed_10p0.jsonl,1,200,200.0,0.1,0.1,0.9,0.0,135.13,48.15590704094207
