model,display_name,baseline,model_seed,eval_seed,noise_label,noise_std,lidar_noise_std,target_obs_noise_std,stage_index,stage_name,policy_path,config_path,eval_log_path,seed,episodes_requested,episodes,success_rate,clean_capture_rate,collision_rate,timeout_rate,avg_steps,avg_min_dist
full_obs,full_obs,b3_full_obs_ippo,1,1,0.00,0.0,0.0,0.0,4,stage5_extreme_game,D:\PursuerEvaderGame\Drones\runs\mappo_3d\default\20260226_180222_ours_s1\policy.pt,D:\PursuerEvaderGame\Drones\runs\mappo_3d\robustness_suite\20260308_144045_stage5_robustness\observation_noise_sweep\full_obs\s1\configs\config_stage5_noise_0.json,D:\PursuerEvaderGame\Drones\runs\mappo_3d\robustness_suite\20260308_144045_stage5_robustness\observation_noise_sweep\full_obs\s1\logs\eval_stage5_noise_0.jsonl,1,200,200.0,0.62,0.62,0.38,0.0,442.19,13.1320105007074
full_obs,full_obs,b3_full_obs_ippo,1,1,0.05,0.05,0.05,0.05,4,stage5_extreme_game,D:\PursuerEvaderGame\Drones\runs\mappo_3d\default\20260226_180222_ours_s1\policy.pt,D:\PursuerEvaderGame\Drones\runs\mappo_3d\robustness_suite\20260308_144045_stage5_robustness\observation_noise_sweep\full_obs\s1\configs\config_stage5_noise_0p05.json,D:\PursuerEvaderGame\Drones\runs\mappo_3d\robustness_suite\20260308_144045_stage5_robustness\observation_noise_sweep\full_obs\s1\logs\eval_stage5_noise_0p05.jsonl,1,200,200.0,0.68,0.68,0.32,0.0,480.73,11.084833828162994
full_obs,full_obs,b3_full_obs_ippo,1,1,0.10,0.1,0.1,0.1,4,stage5_extreme_game,D:\PursuerEvaderGame\Drones\runs\mappo_3d\default\20260226_180222_ours_s1\policy.pt,D:\PursuerEvaderGame\Drones\runs\mappo_3d\robustness_suite\20260308_144045_stage5_robustness\observation_noise_sweep\full_obs\s1\configs\config_stage5_noise_0p1.json,D:\PursuerEvaderGame\Drones\runs\mappo_3d\robustness_suite\20260308_144045_stage5_robustness\observation_noise_sweep\full_obs\s1\logs\eval_stage5_noise_0p1.jsonl,1,200,200.0,0.685,0.685,0.315,0.0,422.495,10.691997041321292
full_obs,full_obs,b3_full_obs_ippo,1,1,0.20,0.2,0.2,0.2,4,stage5_extreme_game,D:\PursuerEvaderGame\Drones\runs\mappo_3d\default\20260226_180222_ours_s1\policy.pt,D:\PursuerEvaderGame\Drones\runs\mappo_3d\robustness_suite\20260308_144045_stage5_robustness\observation_noise_sweep\full_obs\s1\configs\config_stage5_noise_0p2.json,D:\PursuerEvaderGame\Drones\runs\mappo_3d\robustness_suite\20260308_144045_stage5_robustness\observation_noise_sweep\full_obs\s1\logs\eval_stage5_noise_0p2.jsonl,1,200,200.0,0.635,0.635,0.365,0.0,465.095,12.063587561043304
