model,display_name,baseline,model_seed,eval_seed,noise_label,noise_std,lidar_noise_std,target_obs_noise_std,stage_index,stage_name,policy_path,config_path,eval_log_path,seed,episodes_requested,episodes,success_rate,clean_capture_rate,collision_rate,timeout_rate,avg_steps,avg_min_dist
full_obs,full_obs,b3_full_obs_ippo,2,2,0.00,0.0,0.0,0.0,4,stage5_extreme_game,D:\PursuerEvaderGame\Drones\runs\mappo_3d\default\20260227_112209_ours_s2\policy.pt,D:\PursuerEvaderGame\Drones\runs\mappo_3d\robustness_suite\20260308_144045_stage5_robustness\observation_noise_sweep\full_obs\s2\configs\config_stage5_noise_0.json,D:\PursuerEvaderGame\Drones\runs\mappo_3d\robustness_suite\20260308_144045_stage5_robustness\observation_noise_sweep\full_obs\s2\logs\eval_stage5_noise_0.jsonl,2,200,200.0,0.67,0.66,0.33,0.01,467.91,11.644504711810338
full_obs,full_obs,b3_full_obs_ippo,2,2,0.05,0.05,0.05,0.05,4,stage5_extreme_game,D:\PursuerEvaderGame\Drones\runs\mappo_3d\default\20260227_112209_ours_s2\policy.pt,D:\PursuerEvaderGame\Drones\runs\mappo_3d\robustness_suite\20260308_144045_stage5_robustness\observation_noise_sweep\full_obs\s2\configs\config_stage5_noise_0p05.json,D:\PursuerEvaderGame\Drones\runs\mappo_3d\robustness_suite\20260308_144045_stage5_robustness\observation_noise_sweep\full_obs\s2\logs\eval_stage5_noise_0p05.jsonl,2,200,200.0,0.685,0.68,0.32,0.0,466.135,9.721209083686293
full_obs,full_obs,b3_full_obs_ippo,2,2,0.10,0.1,0.1,0.1,4,stage5_extreme_game,D:\PursuerEvaderGame\Drones\runs\mappo_3d\default\20260227_112209_ours_s2\policy.pt,D:\PursuerEvaderGame\Drones\runs\mappo_3d\robustness_suite\20260308_144045_stage5_robustness\observation_noise_sweep\full_obs\s2\configs\config_stage5_noise_0p1.json,D:\PursuerEvaderGame\Drones\runs\mappo_3d\robustness_suite\20260308_144045_stage5_robustness\observation_noise_sweep\full_obs\s2\logs\eval_stage5_noise_0p1.jsonl,2,200,200.0,0.765,0.765,0.235,0.0,494.3,9.619636522191572
full_obs,full_obs,b3_full_obs_ippo,2,2,0.20,0.2,0.2,0.2,4,stage5_extreme_game,D:\PursuerEvaderGame\Drones\runs\mappo_3d\default\20260227_112209_ours_s2\policy.pt,D:\PursuerEvaderGame\Drones\runs\mappo_3d\robustness_suite\20260308_144045_stage5_robustness\observation_noise_sweep\full_obs\s2\configs\config_stage5_noise_0p2.json,D:\PursuerEvaderGame\Drones\runs\mappo_3d\robustness_suite\20260308_144045_stage5_robustness\observation_noise_sweep\full_obs\s2\logs\eval_stage5_noise_0p2.jsonl,2,200,200.0,0.64,0.64,0.36,0.0,563.735,10.364086602941319
