model,display_name,baseline,model_seed,eval_seed,delay_steps,stage_index,stage_name,policy_path,config_path,eval_log_path,seed,episodes_requested,episodes,success_rate,clean_capture_rate,collision_rate,timeout_rate,avg_steps,avg_min_dist
euclidean,Euclidean,b2_euclidean_guidance,1,4,0,4,stage5_extreme_game,D:\PursuerEvaderGame\Drones\runs\mappo_3d\default\20260228_115953_b2_euclidean_guidance_s1\policy.pt,D:\PursuerEvaderGame\Drones\runs\mappo_3d\robustness_suite\20260308_144045_stage5_robustness\action_delay_sweep\euclidean\s4\configs\config_stage5_action_delay_0step.json,D:\PursuerEvaderGame\Drones\runs\mappo_3d\robustness_suite\20260308_144045_stage5_robustness\action_delay_sweep\euclidean\s4\logs\eval_stage5_action_delay_0step.jsonl,4,200,200.0,0.33,0.33,0.6,0.07,1263.175,20.605658866343205
euclidean,Euclidean,b2_euclidean_guidance,1,4,1,4,stage5_extreme_game,D:\PursuerEvaderGame\Drones\runs\mappo_3d\default\20260228_115953_b2_euclidean_guidance_s1\policy.pt,D:\PursuerEvaderGame\Drones\runs\mappo_3d\robustness_suite\20260308_144045_stage5_robustness\action_delay_sweep\euclidean\s4\configs\config_stage5_action_delay_1step.json,D:\PursuerEvaderGame\Drones\runs\mappo_3d\robustness_suite\20260308_144045_stage5_robustness\action_delay_sweep\euclidean\s4\logs\eval_stage5_action_delay_1step.jsonl,4,200,200.0,0.4,0.395,0.525,0.08,1244.6,17.873182316143655
euclidean,Euclidean,b2_euclidean_guidance,1,4,2,4,stage5_extreme_game,D:\PursuerEvaderGame\Drones\runs\mappo_3d\default\20260228_115953_b2_euclidean_guidance_s1\policy.pt,D:\PursuerEvaderGame\Drones\runs\mappo_3d\robustness_suite\20260308_144045_stage5_robustness\action_delay_sweep\euclidean\s4\configs\config_stage5_action_delay_2step.json,D:\PursuerEvaderGame\Drones\runs\mappo_3d\robustness_suite\20260308_144045_stage5_robustness\action_delay_sweep\euclidean\s4\logs\eval_stage5_action_delay_2step.jsonl,4,200,200.0,0.355,0.35,0.54,0.11,1339.665,20.468023889411423
euclidean,Euclidean,b2_euclidean_guidance,1,4,3,4,stage5_extreme_game,D:\PursuerEvaderGame\Drones\runs\mappo_3d\default\20260228_115953_b2_euclidean_guidance_s1\policy.pt,D:\PursuerEvaderGame\Drones\runs\mappo_3d\robustness_suite\20260308_144045_stage5_robustness\action_delay_sweep\euclidean\s4\configs\config_stage5_action_delay_3step.json,D:\PursuerEvaderGame\Drones\runs\mappo_3d\robustness_suite\20260308_144045_stage5_robustness\action_delay_sweep\euclidean\s4\logs\eval_stage5_action_delay_3step.jsonl,4,200,200.0,0.31,0.31,0.625,0.065,1198.705,20.58104837882961
