model,display_name,baseline,model_seed,eval_seed,delay_steps,stage_index,stage_name,policy_path,config_path,eval_log_path,seed,episodes_requested,episodes,success_rate,clean_capture_rate,collision_rate,timeout_rate,avg_steps,avg_min_dist
euclidean,Euclidean,b2_euclidean_guidance,0,0,0,4,stage5_extreme_game,D:\PursuerEvaderGame\Drones\runs\mappo_3d\default\20260228_050622_b2_euclidean_guidance_s0\policy.pt,D:\PursuerEvaderGame\Drones\runs\mappo_3d\robustness_suite\20260308_144045_stage5_robustness\action_delay_sweep\euclidean\s0\configs\config_stage5_action_delay_0step.json,D:\PursuerEvaderGame\Drones\runs\mappo_3d\robustness_suite\20260308_144045_stage5_robustness\action_delay_sweep\euclidean\s0\logs\eval_stage5_action_delay_0step.jsonl,0,200,200.0,0.53,0.53,0.415,0.055,786.31,17.045004431652035
euclidean,Euclidean,b2_euclidean_guidance,0,0,1,4,stage5_extreme_game,D:\PursuerEvaderGame\Drones\runs\mappo_3d\default\20260228_050622_b2_euclidean_guidance_s0\policy.pt,D:\PursuerEvaderGame\Drones\runs\mappo_3d\robustness_suite\20260308_144045_stage5_robustness\action_delay_sweep\euclidean\s0\configs\config_stage5_action_delay_1step.json,D:\PursuerEvaderGame\Drones\runs\mappo_3d\robustness_suite\20260308_144045_stage5_robustness\action_delay_sweep\euclidean\s0\logs\eval_stage5_action_delay_1step.jsonl,0,200,200.0,0.435,0.43,0.52,0.05,953.255,18.040093578017025
euclidean,Euclidean,b2_euclidean_guidance,0,0,2,4,stage5_extreme_game,D:\PursuerEvaderGame\Drones\runs\mappo_3d\default\20260228_050622_b2_euclidean_guidance_s0\policy.pt,D:\PursuerEvaderGame\Drones\runs\mappo_3d\robustness_suite\20260308_144045_stage5_robustness\action_delay_sweep\euclidean\s0\configs\config_stage5_action_delay_2step.json,D:\PursuerEvaderGame\Drones\runs\mappo_3d\robustness_suite\20260308_144045_stage5_robustness\action_delay_sweep\euclidean\s0\logs\eval_stage5_action_delay_2step.jsonl,0,200,200.0,0.46,0.46,0.46,0.08,904.49,15.454084736833147
euclidean,Euclidean,b2_euclidean_guidance,0,0,3,4,stage5_extreme_game,D:\PursuerEvaderGame\Drones\runs\mappo_3d\default\20260228_050622_b2_euclidean_guidance_s0\policy.pt,D:\PursuerEvaderGame\Drones\runs\mappo_3d\robustness_suite\20260308_144045_stage5_robustness\action_delay_sweep\euclidean\s0\configs\config_stage5_action_delay_3step.json,D:\PursuerEvaderGame\Drones\runs\mappo_3d\robustness_suite\20260308_144045_stage5_robustness\action_delay_sweep\euclidean\s0\logs\eval_stage5_action_delay_3step.jsonl,0,200,200.0,0.455,0.455,0.465,0.08,927.995,15.65297209631913
