model,display_name,baseline,model_seed,eval_seed,delay_steps,stage_index,stage_name,policy_path,config_path,eval_log_path,seed,episodes_requested,episodes,success_rate,clean_capture_rate,collision_rate,timeout_rate,avg_steps,avg_min_dist
ours,Ours,ours,2,2,0,4,stage5_extreme_game,D:\PursuerEvaderGame\Drones\runs\mappo_3d\default\20260302_161638_b3_local_obs_ippo_s2\policy.pt,D:\PursuerEvaderGame\Drones\runs\mappo_3d\robustness_suite\20260308_144045_stage5_robustness\action_delay_sweep\ours\s2\configs\config_stage5_action_delay_0step.json,D:\PursuerEvaderGame\Drones\runs\mappo_3d\robustness_suite\20260308_144045_stage5_robustness\action_delay_sweep\ours\s2\logs\eval_stage5_action_delay_0step.jsonl,2,200,200.0,0.75,0.75,0.25,0.0,372.29,10.15373786987684
ours,Ours,ours,2,2,1,4,stage5_extreme_game,D:\PursuerEvaderGame\Drones\runs\mappo_3d\default\20260302_161638_b3_local_obs_ippo_s2\policy.pt,D:\PursuerEvaderGame\Drones\runs\mappo_3d\robustness_suite\20260308_144045_stage5_robustness\action_delay_sweep\ours\s2\configs\config_stage5_action_delay_1step.json,D:\PursuerEvaderGame\Drones\runs\mappo_3d\robustness_suite\20260308_144045_stage5_robustness\action_delay_sweep\ours\s2\logs\eval_stage5_action_delay_1step.jsonl,2,200,200.0,0.53,0.53,0.47,0.0,545.565,10.553804076257814
ours,Ours,ours,2,2,2,4,stage5_extreme_game,D:\PursuerEvaderGame\Drones\runs\mappo_3d\default\20260302_161638_b3_local_obs_ippo_s2\policy.pt,D:\PursuerEvaderGame\Drones\runs\mappo_3d\robustness_suite\20260308_144045_stage5_robustness\action_delay_sweep\ours\s2\configs\config_stage5_action_delay_2step.json,D:\PursuerEvaderGame\Drones\runs\mappo_3d\robustness_suite\20260308_144045_stage5_robustness\action_delay_sweep\ours\s2\logs\eval_stage5_action_delay_2step.jsonl,2,200,200.0,0.55,0.55,0.45,0.0,442.275,11.00088558006944
ours,Ours,ours,2,2,3,4,stage5_extreme_game,D:\PursuerEvaderGame\Drones\runs\mappo_3d\default\20260302_161638_b3_local_obs_ippo_s2\policy.pt,D:\PursuerEvaderGame\Drones\runs\mappo_3d\robustness_suite\20260308_144045_stage5_robustness\action_delay_sweep\ours\s2\configs\config_stage5_action_delay_3step.json,D:\PursuerEvaderGame\Drones\runs\mappo_3d\robustness_suite\20260308_144045_stage5_robustness\action_delay_sweep\ours\s2\logs\eval_stage5_action_delay_3step.jsonl,2,200,200.0,0.485,0.485,0.515,0.0,547.805,11.316867192689916
