model,display_name,baseline,model_seed,eval_seed,delay_steps,stage_index,stage_name,policy_path,config_path,eval_log_path,seed,episodes_requested,episodes,success_rate,clean_capture_rate,collision_rate,timeout_rate,avg_steps,avg_min_dist
full_obs,full_obs,b3_full_obs_ippo,2,2,0,4,stage5_extreme_game,D:\PursuerEvaderGame\Drones\runs\mappo_3d\default\20260227_112209_ours_s2\policy.pt,D:\PursuerEvaderGame\Drones\runs\mappo_3d\robustness_suite\20260308_144045_stage5_robustness\action_delay_sweep\full_obs\s2\configs\config_stage5_action_delay_0step.json,D:\PursuerEvaderGame\Drones\runs\mappo_3d\robustness_suite\20260308_144045_stage5_robustness\action_delay_sweep\full_obs\s2\logs\eval_stage5_action_delay_0step.jsonl,2,200,200.0,0.69,0.685,0.315,0.0,412.235,10.619901519364833
full_obs,full_obs,b3_full_obs_ippo,2,2,1,4,stage5_extreme_game,D:\PursuerEvaderGame\Drones\runs\mappo_3d\default\20260227_112209_ours_s2\policy.pt,D:\PursuerEvaderGame\Drones\runs\mappo_3d\robustness_suite\20260308_144045_stage5_robustness\action_delay_sweep\full_obs\s2\configs\config_stage5_action_delay_1step.json,D:\PursuerEvaderGame\Drones\runs\mappo_3d\robustness_suite\20260308_144045_stage5_robustness\action_delay_sweep\full_obs\s2\logs\eval_stage5_action_delay_1step.jsonl,2,200,200.0,0.55,0.55,0.45,0.0,499.58,10.839084507725602
full_obs,full_obs,b3_full_obs_ippo,2,2,2,4,stage5_extreme_game,D:\PursuerEvaderGame\Drones\runs\mappo_3d\default\20260227_112209_ours_s2\policy.pt,D:\PursuerEvaderGame\Drones\runs\mappo_3d\robustness_suite\20260308_144045_stage5_robustness\action_delay_sweep\full_obs\s2\configs\config_stage5_action_delay_2step.json,D:\PursuerEvaderGame\Drones\runs\mappo_3d\robustness_suite\20260308_144045_stage5_robustness\action_delay_sweep\full_obs\s2\logs\eval_stage5_action_delay_2step.jsonl,2,200,200.0,0.48,0.475,0.525,0.0,446.52,11.783786363003845
full_obs,full_obs,b3_full_obs_ippo,2,2,3,4,stage5_extreme_game,D:\PursuerEvaderGame\Drones\runs\mappo_3d\default\20260227_112209_ours_s2\policy.pt,D:\PursuerEvaderGame\Drones\runs\mappo_3d\robustness_suite\20260308_144045_stage5_robustness\action_delay_sweep\full_obs\s2\configs\config_stage5_action_delay_3step.json,D:\PursuerEvaderGame\Drones\runs\mappo_3d\robustness_suite\20260308_144045_stage5_robustness\action_delay_sweep\full_obs\s2\logs\eval_stage5_action_delay_3step.jsonl,2,200,200.0,0.445,0.44,0.56,0.0,438.095,12.023875588669071
