baseline,model_seed,eval_seed,speed_mps,stage_index,stage_name,policy_path,config_path,eval_log_path,seed,episodes_requested,episodes,success_rate,clean_capture_rate,collision_rate,timeout_rate,avg_steps,avg_min_dist
b1_traditional_apf_pn,0,0,7.0,4,stage5_extreme_game,,D:\PursuerEvaderGame\Drones\runs\mappo_3d\speed_sweep\20260308_115302_full_baselines\APF+PN\s0\configs\config_stage5_speed_7p0.json,D:\PursuerEvaderGame\Drones\runs\mappo_3d\speed_sweep\20260308_115302_full_baselines\APF+PN\s0\logs\eval_stage5_speed_7p0.jsonl,0,200,200.0,0.08,0.08,0.92,0.0,121.02,51.45573828496887
b1_traditional_apf_pn,0,0,8.0,4,stage5_extreme_game,,D:\PursuerEvaderGame\Drones\runs\mappo_3d\speed_sweep\20260308_115302_full_baselines\APF+PN\s0\configs\config_stage5_speed_8p0.json,D:\PursuerEvaderGame\Drones\runs\mappo_3d\speed_sweep\20260308_115302_full_baselines\APF+PN\s0\logs\eval_stage5_speed_8p0.jsonl,0,200,200.0,0.065,0.065,0.935,0.0,103.61,51.97238287365538
b1_traditional_apf_pn,0,0,8.5,4,stage5_extreme_game,,D:\PursuerEvaderGame\Drones\runs\mappo_3d\speed_sweep\20260308_115302_full_baselines\APF+PN\s0\configs\config_stage5_speed_8p5.json,D:\PursuerEvaderGame\Drones\runs\mappo_3d\speed_sweep\20260308_115302_full_baselines\APF+PN\s0\logs\eval_stage5_speed_8p5.jsonl,0,200,200.0,0.1,0.1,0.9,0.0,114.08,51.04060657458186
b1_traditional_apf_pn,0,0,9.0,4,stage5_extreme_game,,D:\PursuerEvaderGame\Drones\runs\mappo_3d\speed_sweep\20260308_115302_full_baselines\APF+PN\s0\configs\config_stage5_speed_9p0.json,D:\PursuerEvaderGame\Drones\runs\mappo_3d\speed_sweep\20260308_115302_full_baselines\APF+PN\s0\logs\eval_stage5_speed_9p0.jsonl,0,200,200.0,0.105,0.105,0.895,0.0,106.785,51.54781019651064
b1_traditional_apf_pn,0,0,9.5,4,stage5_extreme_game,,D:\PursuerEvaderGame\Drones\runs\mappo_3d\speed_sweep\20260308_115302_full_baselines\APF+PN\s0\configs\config_stage5_speed_9p5.json,D:\PursuerEvaderGame\Drones\runs\mappo_3d\speed_sweep\20260308_115302_full_baselines\APF+PN\s0\logs\eval_stage5_speed_9p5.jsonl,0,200,200.0,0.135,0.13,0.87,0.0,122.275,50.3232281279755
b1_traditional_apf_pn,0,0,10.0,4,stage5_extreme_game,,D:\PursuerEvaderGame\Drones\runs\mappo_3d\speed_sweep\20260308_115302_full_baselines\APF+PN\s0\configs\config_stage5_speed_10p0.json,D:\PursuerEvaderGame\Drones\runs\mappo_3d\speed_sweep\20260308_115302_full_baselines\APF+PN\s0\logs\eval_stage5_speed_10p0.jsonl,0,200,200.0,0.085,0.085,0.915,0.0,125.815,49.36503062748674
