baseline,model_seed,eval_seed,speed_mps,stage_index,stage_name,policy_path,config_path,eval_log_path,seed,episodes_requested,episodes,success_rate,clean_capture_rate,collision_rate,timeout_rate,avg_steps,avg_min_dist
b3_full_obs_ippo,1,1,7.0,4,stage5_extreme_game,D:\PursuerEvaderGame\Drones\runs\mappo_3d\default\20260226_180222_ours_s1\policy.pt,D:\PursuerEvaderGame\Drones\runs\mappo_3d\speed_sweep\20260308_115302_full_baselines\b3_full_obs_ippo\s1\configs\config_stage5_speed_7p0.json,D:\PursuerEvaderGame\Drones\runs\mappo_3d\speed_sweep\20260308_115302_full_baselines\b3_full_obs_ippo\s1\logs\eval_stage5_speed_7p0.jsonl,1,200,200.0,0.74,0.74,0.26,0.0,360.17,13.010830850856554
b3_full_obs_ippo,1,1,8.0,4,stage5_extreme_game,D:\PursuerEvaderGame\Drones\runs\mappo_3d\default\20260226_180222_ours_s1\policy.pt,D:\PursuerEvaderGame\Drones\runs\mappo_3d\speed_sweep\20260308_115302_full_baselines\b3_full_obs_ippo\s1\configs\config_stage5_speed_8p0.json,D:\PursuerEvaderGame\Drones\runs\mappo_3d\speed_sweep\20260308_115302_full_baselines\b3_full_obs_ippo\s1\logs\eval_stage5_speed_8p0.jsonl,1,200,200.0,0.735,0.73,0.27,0.0,377.435,11.067732260716468
b3_full_obs_ippo,1,1,8.5,4,stage5_extreme_game,D:\PursuerEvaderGame\Drones\runs\mappo_3d\default\20260226_180222_ours_s1\policy.pt,D:\PursuerEvaderGame\Drones\runs\mappo_3d\speed_sweep\20260308_115302_full_baselines\b3_full_obs_ippo\s1\configs\config_stage5_speed_8p5.json,D:\PursuerEvaderGame\Drones\runs\mappo_3d\speed_sweep\20260308_115302_full_baselines\b3_full_obs_ippo\s1\logs\eval_stage5_speed_8p5.jsonl,1,200,200.0,0.67,0.67,0.33,0.0,415.37,11.218641363878932
b3_full_obs_ippo,1,1,9.0,4,stage5_extreme_game,D:\PursuerEvaderGame\Drones\runs\mappo_3d\default\20260226_180222_ours_s1\policy.pt,D:\PursuerEvaderGame\Drones\runs\mappo_3d\speed_sweep\20260308_115302_full_baselines\b3_full_obs_ippo\s1\configs\config_stage5_speed_9p0.json,D:\PursuerEvaderGame\Drones\runs\mappo_3d\speed_sweep\20260308_115302_full_baselines\b3_full_obs_ippo\s1\logs\eval_stage5_speed_9p0.jsonl,1,200,200.0,0.73,0.73,0.27,0.0,403.06,10.787692369762308
b3_full_obs_ippo,1,1,9.5,4,stage5_extreme_game,D:\PursuerEvaderGame\Drones\runs\mappo_3d\default\20260226_180222_ours_s1\policy.pt,D:\PursuerEvaderGame\Drones\runs\mappo_3d\speed_sweep\20260308_115302_full_baselines\b3_full_obs_ippo\s1\configs\config_stage5_speed_9p5.json,D:\PursuerEvaderGame\Drones\runs\mappo_3d\speed_sweep\20260308_115302_full_baselines\b3_full_obs_ippo\s1\logs\eval_stage5_speed_9p5.jsonl,1,200,200.0,0.665,0.665,0.335,0.0,458.74,12.915056197607418
b3_full_obs_ippo,1,1,10.0,4,stage5_extreme_game,D:\PursuerEvaderGame\Drones\runs\mappo_3d\default\20260226_180222_ours_s1\policy.pt,D:\PursuerEvaderGame\Drones\runs\mappo_3d\speed_sweep\20260308_115302_full_baselines\b3_full_obs_ippo\s1\configs\config_stage5_speed_10p0.json,D:\PursuerEvaderGame\Drones\runs\mappo_3d\speed_sweep\20260308_115302_full_baselines\b3_full_obs_ippo\s1\logs\eval_stage5_speed_10p0.jsonl,1,200,200.0,0.71,0.71,0.29,0.0,481.585,11.461639420535633
